;Unnamed: 0;logit;linear;rf_clf;rf_regr;gtb_clf;gtb_regr;kpi;training_set_size
0;0,0;models_features_2_periods/logit_model_10000.sav;models_features_2_periods/linear_model_10000.sav;models_features_2_periods/random_forest_clf_10000.sav;models_features_2_periods/random_forest_regr_10000.sav;models_features_2_periods/gradient_boosting_clf_10000.sav;models_features_2_periods/gradient_boosting_regr_10000.sav;filenames;10000
1;1,0;models_features_2_periods/logit_model_8000.sav;models_features_2_periods/linear_model_8000.sav;models_features_2_periods/random_forest_clf_8000.sav;models_features_2_periods/random_forest_regr_8000.sav;models_features_2_periods/gradient_boosting_clf_8000.sav;models_features_2_periods/gradient_boosting_regr_8000.sav;filenames;8000
2;2,0;models_features_2_periods/logit_model_6000.sav;models_features_2_periods/linear_model_6000.sav;models_features_2_periods/random_forest_clf_6000.sav;models_features_2_periods/random_forest_regr_6000.sav;models_features_2_periods/gradient_boosting_clf_6000.sav;models_features_2_periods/gradient_boosting_regr_6000.sav;filenames;6000
3;3,0;models_features_2_periods/logit_model_5000.sav;models_features_2_periods/linear_model_5000.sav;models_features_2_periods/random_forest_clf_5000.sav;models_features_2_periods/random_forest_regr_5000.sav;models_features_2_periods/gradient_boosting_clf_5000.sav;models_features_2_periods/gradient_boosting_regr_5000.sav;filenames;5000
4;4,0;models_features_2_periods/logit_model_4000.sav;models_features_2_periods/linear_model_4000.sav;models_features_2_periods/random_forest_clf_4000.sav;models_features_2_periods/random_forest_regr_4000.sav;models_features_2_periods/gradient_boosting_clf_4000.sav;models_features_2_periods/gradient_boosting_regr_4000.sav;filenames;4000
5;5,0;models_features_2_periods/logit_model_3000.sav;models_features_2_periods/linear_model_3000.sav;models_features_2_periods/random_forest_clf_3000.sav;models_features_2_periods/random_forest_regr_3000.sav;models_features_2_periods/gradient_boosting_clf_3000.sav;models_features_2_periods/gradient_boosting_regr_3000.sav;filenames;3000
6;6,0;models_features_2_periods/logit_model_2000.sav;models_features_2_periods/linear_model_2000.sav;models_features_2_periods/random_forest_clf_2000.sav;models_features_2_periods/random_forest_regr_2000.sav;models_features_2_periods/gradient_boosting_clf_2000.sav;models_features_2_periods/gradient_boosting_regr_2000.sav;filenames;2000
7;7,0;models_features_2_periods/logit_model_1000.sav;models_features_2_periods/linear_model_1000.sav;models_features_2_periods/random_forest_clf_1000.sav;models_features_2_periods/random_forest_regr_1000.sav;models_features_2_periods/gradient_boosting_clf_1000.sav;models_features_2_periods/gradient_boosting_regr_1000.sav;filenames;1000
8;8,0;models_features_2_periods/logit_model_500.sav;models_features_2_periods/linear_model_500.sav;models_features_2_periods/random_forest_clf_500.sav;models_features_2_periods/random_forest_regr_500.sav;models_features_2_periods/gradient_boosting_clf_500.sav;models_features_2_periods/gradient_boosting_regr_500.sav;filenames;500
9;9,0;models_features_2_periods/logit_model_200.sav;models_features_2_periods/linear_model_200.sav;models_features_2_periods/random_forest_clf_200.sav;models_features_2_periods/random_forest_regr_200.sav;models_features_2_periods/gradient_boosting_clf_200.sav;models_features_2_periods/gradient_boosting_regr_200.sav;filenames;200
10;10,0;models_features_2_periods/logit_model_100.sav;models_features_2_periods/linear_model_100.sav;models_features_2_periods/random_forest_clf_100.sav;models_features_2_periods/random_forest_regr_100.sav;models_features_2_periods/gradient_boosting_clf_100.sav;models_features_2_periods/gradient_boosting_regr_100.sav;filenames;100
11;11,0;models_features_2_periods/logit_model_50.sav;models_features_2_periods/linear_model_50.sav;models_features_2_periods/random_forest_clf_50.sav;models_features_2_periods/random_forest_regr_50.sav;models_features_2_periods/gradient_boosting_clf_50.sav;models_features_2_periods/gradient_boosting_regr_50.sav;filenames;50
accuracy;;0.6649;;0.6649;;0.6649;;accuracy;10000
precision;;0.47331;;0.47331;;0.47331;;precision;10000
recall;;0.61391;;0.61391;;0.61391;;recall;10000
f1_score;;0.53452;;0.53452;;0.53452;;f1_score;10000
Explained Variance;;0.92196;;0.92088;;0.92309;;Explained Variance;10000
Mean Squared Error;;0.00259;;0.00263;;0.00256;;Mean Squared Error;10000
Root Mean Squared Error;;0.05093;;0.05126;;0.05057;;Root Mean Squared Error;10000
Mean Absolut Error;;0.0418;;0.0404;;0.04004;;Mean Absolut Error;10000
R2;;0.92183;;0.92082;;0.92295;;R2;10000
Explained Variance;;;0.67251;;0.70227;;0.71687;Explained Variance;10000
Mean Squared Error;;;218.75905;;198.95997;;189.17202;Mean Squared Error;10000
Root Mean Squared Error;;;14.79051;;14.10532;;13.75398;Root Mean Squared Error;10000
Mean Absolut Error;;;11.59296;;10.94118;;10.66206;Mean Absolut Error;10000
R2;;;0.67251;;0.70215;;0.7168;R2;10000
accuracy;;0.6649;;0.6649;;0.6649;;accuracy;8000
precision;;0.47331;;0.47331;;0.47331;;precision;8000
recall;;0.61391;;0.61391;;0.61391;;recall;8000
f1_score;;0.53452;;0.53452;;0.53452;;f1_score;8000
