11;11,0;models_features_1_period/logit_model_50.sav;models_features_1_period/linear_model_50.sav;models_features_1_period/random_forest_clf_50.sav;models_features_1_period/random_forest_regr_50.sav;models_features_1_period/gradient_boosting_clf_50.sav;models_features_1_period/gradient_boosting_regr_50.sav;filenames;50
Mean Absolut Error;;;14.42363;;15.07056;;14.19185;Mean Absolut Error;6000
R2;;;0.482;;0.44404;;0.49323;R2;6000
accuracy;;0.639;;0.639;;0.639;;accuracy;5000
precision;;0.36659;;0.36659;;0.36659;;precision;5000
recall;;0.60367;;0.60367;;0.60367;;recall;5000
f1_score;;0.45616;;0.45616;;0.45616;;f1_score;5000
Explained Variance;;0.55748;;0.55632;;0.55683;;Explained Variance;5000
Mean Squared Error;;0.01461;;0.01465;;0.01463;;Mean Squared Error;5000
Root Mean Squared Error;;0.12088;;0.12102;;0.12097;;Root Mean Squared Error;5000
Mean Absolut Error;;0.09801;;0.09798;;0.09797;;Mean Absolut Error;5000
R2;;0.55723;;0.5562;;0.55659;;R2;5000
Explained Variance;;;0.48188;;0.44386;;0.49108;Explained Variance;5000
Mean Squared Error;;;345.12235;;370.4494;;339.00606;Mean Squared Error;5000
Root Mean Squared Error;;;18.57747;;19.24706;;18.41212;Root Mean Squared Error;5000
Mean Absolut Error;;;14.40921;;15.05492;;14.21174;Mean Absolut Error;5000
R2;;;0.48188;;0.44385;;0.49106;R2;5000
accuracy;;0.639;;0.639;;0.639;;accuracy;4000
precision;;0.36659;;0.36659;;0.36659;;precision;4000
recall;;0.60367;;0.60367;;0.60367;;recall;4000
f1_score;;0.45616;;0.45616;;0.45616;;f1_score;4000
Explained Variance;;0.55555;;0.55476;;0.55522;;Explained Variance;4000
Mean Squared Error;;0.01467;;0.0147;;0.01469;;Mean Squared Error;4000
Root Mean Squared Error;;0.12114;;0.12126;;0.12119;;Root Mean Squared Error;4000
Mean Absolut Error;;0.09824;;0.09832;;0.09819;;Mean Absolut Error;4000
R2;;0.55535;;0.55444;;0.555;;R2;4000
Explained Variance;;;0.48024;;0.44025;;0.48723;Explained Variance;4000
Mean Squared Error;;;346.30282;;372.85308;;341.57445;Mean Squared Error;4000
Root Mean Squared Error;;;18.60921;;19.3094;;18.48173;Root Mean Squared Error;4000
Mean Absolut Error;;;14.47488;;15.1217;;14.30618;Mean Absolut Error;4000
R2;;;0.4801;;0.44025;;0.4872;R2;4000
accuracy;;0.639;;0.639;;0.639;;accuracy;3000
precision;;0.36659;;0.36659;;0.36659;;precision;3000
recall;;0.60367;;0.60367;;0.60367;;recall;3000
f1_score;;0.45616;;0.45616;;0.45616;;f1_score;3000
Explained Variance;;0.55722;;0.55202;;0.55255;;Explained Variance;3000
Mean Squared Error;;0.01466;;0.01486;;0.01482;;Mean Squared Error;3000
Root Mean Squared Error;;0.12108;;0.1219;;0.12173;;Root Mean Squared Error;3000
Mean Absolut Error;;0.09876;;0.09953;;0.09926;;Mean Absolut Error;3000
R2;;0.55582;;0.54974;;0.551;;R2;3000
Explained Variance;;;0.47928;;0.44418;;0.48456;Explained Variance;3000
Mean Squared Error;;;347.16926;;370.32925;;343.43808;Mean Squared Error;3000
Root Mean Squared Error;;;18.63248;;19.24394;;18.53208;Root Mean Squared Error;3000
Mean Absolut Error;;;14.50884;;15.07049;;14.34225;Mean Absolut Error;3000
R2;;;0.4788;;0.44403;;0.48441;R2;3000
accuracy;;0.639;;0.639;;0.639;;accuracy;2000
precision;;0.36659;;0.36659;;0.36659;;precision;2000
recall;;0.60367;;0.60367;;0.60367;;recall;2000
f1_score;;0.45616;;0.45616;;0.45616;;f1_score;2000
Explained Variance;;0.55043;;0.5329;;0.53338;;Explained Variance;2000
Mean Squared Error;;0.01486;;0.01545;;0.01542;;Mean Squared Error;2000
Root Mean Squared Error;;0.12191;;0.12429;;0.12418;;Root Mean Squared Error;2000
Mean Absolut Error;;0.09928;;0.10127;;0.10115;;Mean Absolut Error;2000
R2;;0.54965;;0.53191;;0.53274;;R2;2000
Explained Variance;;;0.47687;;0.4465;;0.4795;Explained Variance;2000
