;Unnamed: 0;logit;linear;rf_clf;rf_regr;gtb_clf;gtb_regr;kpi;training_set_size
0;0,0;models_features_1_period/logit_model_10000.sav;models_features_1_period/linear_model_10000.sav;models_features_1_period/random_forest_clf_10000.sav;models_features_1_period/random_forest_regr_10000.sav;models_features_1_period/gradient_boosting_clf_10000.sav;models_features_1_period/gradient_boosting_regr_10000.sav;filenames;10000
1;1,0;models_features_1_period/logit_model_8000.sav;models_features_1_period/linear_model_8000.sav;models_features_1_period/random_forest_clf_8000.sav;models_features_1_period/random_forest_regr_8000.sav;models_features_1_period/gradient_boosting_clf_8000.sav;models_features_1_period/gradient_boosting_regr_8000.sav;filenames;8000
2;2,0;models_features_1_period/logit_model_6000.sav;models_features_1_period/linear_model_6000.sav;models_features_1_period/random_forest_clf_6000.sav;models_features_1_period/random_forest_regr_6000.sav;models_features_1_period/gradient_boosting_clf_6000.sav;models_features_1_period/gradient_boosting_regr_6000.sav;filenames;6000
3;3,0;models_features_1_period/logit_model_5000.sav;models_features_1_period/linear_model_5000.sav;models_features_1_period/random_forest_clf_5000.sav;models_features_1_period/random_forest_regr_5000.sav;models_features_1_period/gradient_boosting_clf_5000.sav;models_features_1_period/gradient_boosting_regr_5000.sav;filenames;5000
4;4,0;models_features_1_period/logit_model_4000.sav;models_features_1_period/linear_model_4000.sav;models_features_1_period/random_forest_clf_4000.sav;models_features_1_period/random_forest_regr_4000.sav;models_features_1_period/gradient_boosting_clf_4000.sav;models_features_1_period/gradient_boosting_regr_4000.sav;filenames;4000
5;5,0;models_features_1_period/logit_model_3000.sav;models_features_1_period/linear_model_3000.sav;models_features_1_period/random_forest_clf_3000.sav;models_features_1_period/random_forest_regr_3000.sav;models_features_1_period/gradient_boosting_clf_3000.sav;models_features_1_period/gradient_boosting_regr_3000.sav;filenames;3000
6;6,0;models_features_1_period/logit_model_2000.sav;models_features_1_period/linear_model_2000.sav;models_features_1_period/random_forest_clf_2000.sav;models_features_1_period/random_forest_regr_2000.sav;models_features_1_period/gradient_boosting_clf_2000.sav;models_features_1_period/gradient_boosting_regr_2000.sav;filenames;2000
7;7,0;models_features_1_period/logit_model_1000.sav;models_features_1_period/linear_model_1000.sav;models_features_1_period/random_forest_clf_1000.sav;models_features_1_period/random_forest_regr_1000.sav;models_features_1_period/gradient_boosting_clf_1000.sav;models_features_1_period/gradient_boosting_regr_1000.sav;filenames;1000
8;8,0;models_features_1_period/logit_model_500.sav;models_features_1_period/linear_model_500.sav;models_features_1_period/random_forest_clf_500.sav;models_features_1_period/random_forest_regr_500.sav;models_features_1_period/gradient_boosting_clf_500.sav;models_features_1_period/gradient_boosting_regr_500.sav;filenames;500
9;9,0;models_features_1_period/logit_model_200.sav;models_features_1_period/linear_model_200.sav;models_features_1_period/random_forest_clf_200.sav;models_features_1_period/random_forest_regr_200.sav;models_features_1_period/gradient_boosting_clf_200.sav;models_features_1_period/gradient_boosting_regr_200.sav;filenames;200
