11;11,0;models_features_without_prom/logit_model_50.sav;models_features_without_prom/linear_model_50.sav;models_features_without_prom/random_forest_clf_50.sav;models_features_without_prom/random_forest_regr_50.sav;models_features_without_prom/gradient_boosting_clf_50.sav;models_features_without_prom/gradient_boosting_regr_50.sav;filenames;50
Mean Squared Error;;;206.97029;;146.85901;;150.44122;Mean Squared Error;6000
Root Mean Squared Error;;;14.38646;;12.11854;;12.26545;Root Mean Squared Error;6000
Mean Absolut Error;;;11.51052;;9.72723;;9.85038;Mean Absolut Error;6000
R2;;;0.68213;;0.77445;;0.76895;R2;6000
accuracy;;0.6339;;0.6365;;0.6357;;accuracy;5000
precision;;0.32831;;0.40554;;0.35818;;precision;5000
recall;;0.60169;;0.58453;;0.59596;;recall;5000
f1_score;;0.42482;;0.47885;;0.44744;;f1_score;5000
Explained Variance;;0.49375;;0.51769;;0.58078;;Explained Variance;5000
Mean Squared Error;;0.01644;;0.01566;;0.01362;;Mean Squared Error;5000
Root Mean Squared Error;;0.12823;;0.12513;;0.11669;;Root Mean Squared Error;5000
Mean Absolut Error;;0.10751;;0.09783;;0.08895;;Mean Absolut Error;5000
R2;;0.49288;;0.51715;;0.58007;;R2;5000
Explained Variance;;;0.68197;;0.77052;;0.76532;Explained Variance;5000
Mean Squared Error;;;207.14444;;149.422;;152.81007;Mean Squared Error;5000
Root Mean Squared Error;;;14.39251;;12.22383;;12.36164;Root Mean Squared Error;5000
Mean Absolut Error;;;11.51736;;9.78927;;9.9267;Mean Absolut Error;5000
R2;;;0.68186;;0.77051;;0.76531;R2;5000
accuracy;;0.6339;;0.6313;;0.6366;;accuracy;4000
precision;;0.32831;;0.40117;;0.37858;;precision;4000
recall;;0.60169;;0.57501;;0.59188;;recall;4000
f1_score;;0.42482;;0.47261;;0.46179;;f1_score;4000
Explained Variance;;0.4904;;0.49651;;0.57735;;Explained Variance;4000
Mean Squared Error;;0.01655;;0.01635;;0.01372;;Mean Squared Error;4000
Root Mean Squared Error;;0.12863;;0.12785;;0.11714;;Root Mean Squared Error;4000
Mean Absolut Error;;0.10777;;0.1006;;0.08878;;Mean Absolut Error;4000
R2;;0.48973;;0.49592;;0.57685;;R2;4000
Explained Variance;;;0.68204;;0.76731;;0.76077;Explained Variance;4000
Mean Squared Error;;;207.14722;;151.51346;;155.76952;Mean Squared Error;4000
Root Mean Squared Error;;;14.39261;;12.30908;;12.48077;Root Mean Squared Error;4000
Mean Absolut Error;;;11.53237;;9.86283;;10.01267;Mean Absolut Error;4000
R2;;;0.68186;;0.7673;;0.76076;R2;4000
accuracy;;0.6339;;0.6241;;0.6373;;accuracy;3000
precision;;0.32831;;0.44099;;0.40845;;precision;3000
recall;;0.60169;;0.55484;;0.58545;;recall;3000
f1_score;;0.42482;;0.49141;;0.48119;;f1_score;3000
Explained Variance;;0.48771;;0.47862;;0.57351;;Explained Variance;3000
Mean Squared Error;;0.01661;;0.01691;;0.01383;;Mean Squared Error;3000
Root Mean Squared Error;;0.12889;;0.13004;;0.11761;;Root Mean Squared Error;3000
Mean Absolut Error;;0.10799;;0.10349;;0.09142;;Mean Absolut Error;3000
R2;;0.48767;;0.47852;;0.57347;;R2;3000
Explained Variance;;;0.67903;;0.76189;;0.75718;Explained Variance;3000
Mean Squared Error;;;209.04637;;155.04397;;158.15299;Mean Squared Error;3000
Root Mean Squared Error;;;14.45844;;12.45167;;12.57589;Root Mean Squared Error;3000
Mean Absolut Error;;;11.59716;;9.96671;;10.0781;Mean Absolut Error;3000
R2;;;0.67894;;0.76188;;0.7571;R2;3000
