;Unnamed: 0;logit;linear;rf_clf;rf_regr;gtb_clf;gtb_regr;kpi;training_set_size
0;0,0;models_features_without_prom/logit_model_10000.sav;models_features_without_prom/linear_model_10000.sav;models_features_without_prom/random_forest_clf_10000.sav;models_features_without_prom/random_forest_regr_10000.sav;models_features_without_prom/gradient_boosting_clf_10000.sav;models_features_without_prom/gradient_boosting_regr_10000.sav;filenames;10000
1;1,0;models_features_without_prom/logit_model_8000.sav;models_features_without_prom/linear_model_8000.sav;models_features_without_prom/random_forest_clf_8000.sav;models_features_without_prom/random_forest_regr_8000.sav;models_features_without_prom/gradient_boosting_clf_8000.sav;models_features_without_prom/gradient_boosting_regr_8000.sav;filenames;8000
2;2,0;models_features_without_prom/logit_model_6000.sav;models_features_without_prom/linear_model_6000.sav;models_features_without_prom/random_forest_clf_6000.sav;models_features_without_prom/random_forest_regr_6000.sav;models_features_without_prom/gradient_boosting_clf_6000.sav;models_features_without_prom/gradient_boosting_regr_6000.sav;filenames;6000
3;3,0;models_features_without_prom/logit_model_5000.sav;models_features_without_prom/linear_model_5000.sav;models_features_without_prom/random_forest_clf_5000.sav;models_features_without_prom/random_forest_regr_5000.sav;models_features_without_prom/gradient_boosting_clf_5000.sav;models_features_without_prom/gradient_boosting_regr_5000.sav;filenames;5000
4;4,0;models_features_without_prom/logit_model_4000.sav;models_features_without_prom/linear_model_4000.sav;models_features_without_prom/random_forest_clf_4000.sav;models_features_without_prom/random_forest_regr_4000.sav;models_features_without_prom/gradient_boosting_clf_4000.sav;models_features_without_prom/gradient_boosting_regr_4000.sav;filenames;4000
5;5,0;models_features_without_prom/logit_model_3000.sav;models_features_without_prom/linear_model_3000.sav;models_features_without_prom/random_forest_clf_3000.sav;models_features_without_prom/random_forest_regr_3000.sav;models_features_without_prom/gradient_boosting_clf_3000.sav;models_features_without_prom/gradient_boosting_regr_3000.sav;filenames;3000
6;6,0;models_features_without_prom/logit_model_2000.sav;models_features_without_prom/linear_model_2000.sav;models_features_without_prom/random_forest_clf_2000.sav;models_features_without_prom/random_forest_regr_2000.sav;models_features_without_prom/gradient_boosting_clf_2000.sav;models_features_without_prom/gradient_boosting_regr_2000.sav;filenames;2000
7;7,0;models_features_without_prom/logit_model_1000.sav;models_features_without_prom/linear_model_1000.sav;models_features_without_prom/random_forest_clf_1000.sav;models_features_without_prom/random_forest_regr_1000.sav;models_features_without_prom/gradient_boosting_clf_1000.sav;models_features_without_prom/gradient_boosting_regr_1000.sav;filenames;1000
8;8,0;models_features_without_prom/logit_model_500.sav;models_features_without_prom/linear_model_500.sav;models_features_without_prom/random_forest_clf_500.sav;models_features_without_prom/random_forest_regr_500.sav;models_features_without_prom/gradient_boosting_clf_500.sav;models_features_without_prom/gradient_boosting_regr_500.sav;filenames;500
9;9,0;models_features_without_prom/logit_model_200.sav;models_features_without_prom/linear_model_200.sav;models_features_without_prom/random_forest_clf_200.sav;models_features_without_prom/random_forest_regr_200.sav;models_features_without_prom/gradient_boosting_clf_200.sav;models_features_without_prom/gradient_boosting_regr_200.sav;filenames;200
10;10,0;models_features_without_prom/logit_model_100.sav;models_features_without_prom/linear_model_100.sav;models_features_without_prom/random_forest_clf_100.sav;models_features_without_prom/random_forest_regr_100.sav;models_features_without_prom/gradient_boosting_clf_100.sav;models_features_without_prom/gradient_boosting_regr_100.sav;filenames;100
11;11,0;models_features_without_prom/logit_model_50.sav;models_features_without_prom/linear_model_50.sav;models_features_without_prom/random_forest_clf_50.sav;models_features_without_prom/random_forest_regr_50.sav;models_features_without_prom/gradient_boosting_clf_50.sav;models_features_without_prom/gradient_boosting_regr_50.sav;filenames;50
accuracy;;0.6402;;0.643;;0.6423;;accuracy;10000
precision;;0.35264;;0.41154;;0.41322;;precision;10000
recall;;0.61847;;0.60409;;0.6021;;recall;10000
f1_score;;0.44917;;0.48956;;0.49009;;f1_score;10000
Explained Variance;;0.50138;;0.5841;;0.60582;;Explained Variance;10000
Mean Squared Error;;0.01675;;0.01397;;0.01324;;Mean Squared Error;10000
Root Mean Squared Error;;0.12941;;0.11819;;0.11506;;Root Mean Squared Error;10000
Mean Absolut Error;;0.10874;;0.09068;;0.08753;;Mean Absolut Error;10000
R2;;0.50131;;0.58406;;0.60578;;R2;10000
Explained Variance;;;0.68097;;0.78558;;0.77153;Explained Variance;10000
Mean Squared Error;;;200.94601;;135.17594;;144.00659;Mean Squared Error;10000
Root Mean Squared Error;;;14.17554;;11.62652;;12.00027;Root Mean Squared Error;10000
Mean Absolut Error;;;11.388;;9.36072;;9.65616;Mean Absolut Error;10000
R2;;;0.68066;;0.78518;;0.77114;R2;10000
accuracy;;0.6402;;0.643;;0.6429;;accuracy;8000
precision;;0.35264;;0.41154;;0.40625;;precision;8000
recall;;0.61847;;0.60409;;0.60552;;recall;8000
f1_score;;0.44917;;0.48956;;0.48626;;f1_score;8000
Explained Variance;;0.50052;;0.57382;;0.60236;;Explained Variance;8000
Mean Squared Error;;0.01677;;0.01431;;0.01335;;Mean Squared Error;8000
Root Mean Squared Error;;0.12952;;0.11963;;0.11556;;Root Mean Squared Error;8000
Mean Absolut Error;;0.10881;;0.09167;;0.0876;;Mean Absolut Error;8000
