w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,0,887.029,872.016,887.029,-15.013
0,0,0,0,0,1,0.076,0.075,35.718,32.539,0,894.845,879.250,894.845,-15.596
0,0,0,0,1,0,0.279,0.250,29.421,29.716,0,896.437,881.248,896.437,-15.189
0,0,0,0,1,1,0.235,0.200,23.727,22.144,0,902.473,888.890,902.473,-13.584
0,0,0,1,0,0,0.282,0.300,27.874,19.717,0,890.842,875.532,890.842,-15.310
0,0,0,1,0,1,0.238,0.225,38.157,35.858,0,901.374,886.569,901.374,-14.805
0,0,0,1,1,0,0.425,0.400,25.850,26.113,0,901.025,885.202,901.025,-15.823
0,0,0,1,1,1,0.504,0.450,25.444,19.414,0,908.686,898.159,908.686,-10.528
0,0,1,0,0,0,0.086,0.075,45.212,42.627,0,902.470,874.153,902.470,-28.317
0,0,1,0,0,1,0.058,0.050,38.316,38.591,0,908.550,875.877,908.550,-32.673
0,0,1,0,1,0,0.256,0.225,44.326,35.768,0,912.649,884.425,912.649,-28.223
0,0,1,0,1,1,0.184,0.175,30.370,28.196,0,918.584,883.922,918.584,-34.662
0,0,1,1,0,0,0.249,0.275,32.767,25.769,0,907.304,878.780,907.304,-28.524
0,0,1,1,0,1,0.212,0.200,38.051,41.910,0,915.445,882.072,915.445,-33.372
0,0,1,1,1,0,0.448,0.375,39.562,32.166,0,918.129,892.151,918.129,-25.978
0,0,1,1,1,1,0.494,0.425,33.392,25.466,0,925.686,895.458,925.686,-30.227
0,1,0,0,0,0,0.256,0.250,43.985,48.660,0,903.436,883.166,903.436,-20.270
0,1,0,0,0,1,0.255,0.225,41.673,44.625,0,908.183,890.502,908.183,-17.681
0,1,0,0,1,0,0.459,0.400,39.962,41.802,0,911.028,894.025,911.028,-17.003
0,1,0,0,1,1,0.404,0.350,34.769,34.230,0,913.991,898.126,913.991,-15.865
0,1,0,1,0,0,0.487,0.450,43.884,31.803,0,906.937,894.556,906.937,-12.381
0,1,0,1,0,1,0.355,0.375,46.275,47.944,0,916.757,896.752,916.757,-20.005
0,1,0,1,1,0,0.545,0.550,39.952,38.200,0,917.387,898.389,917.387,-18.998
0,1,0,1,1,1,0.613,0.600,40.515,31.500,0,922.264,910.015,922.264,-12.249
0,1,1,0,0,0,0.213,0.200,34.686,35.493,0,906.598,895.426,906.598,-11.172
0,1,1,0,0,1,0.197,0.175,33.040,31.457,0,908.809,900.521,908.809,-8.289
0,1,1,0,1,0,0.339,0.350,29.832,28.634,0,910.051,901.765,910.051,-8.287
0,1,1,0,1,1,0.278,0.300,26.250,21.062,1,912.462,912.462,912.380,0.082
0,1,1,1,0,0,0.403,0.400,23.731,18.635,0,907.809,897.620,907.809,-10.189
0,1,1,1,0,1,0.313,0.325,47.022,34.776,0,914.852,908.327,914.852,-6.524
0,1,1,1,1,0,0.499,0.500,24.336,25.032,0,914.556,905.244,914.556,-9.312
0,1,1,1,1,1,0.549,0.550,24.655,18.332,0,916.528,916.459,916.528,-0.068
1,0,0,0,0,0,0.337,0.300,38.305,30.400,0,894.047,880.920,894.047,-13.127
1,0,0,0,0,1,0.255,0.275,35.973,26.365,0,900.856,886.783,900.856,-14.073
1,0,0,0,1,0,0.473,0.450,33.072,23.541,0,901.697,890.237,901.697,-11.460
1,0,0,0,1,1,0.378,0.400,18.447,15.969,0,905.957,891.361,905.957,-14.596
1,0,0,1,0,0,0.479,0.500,15.662,13.542,0,893.254,876.367,893.254,-16.886
1,0,0,1,0,1,0.388,0.425,26.401,29.684,0,907.123,888.624,907.123,-18.499
1,0,0,1,1,0,0.635,0.600,17.901,19.939,0,904.639,887.290,904.639,-17.349
1,0,0,1,1,1,0.674,0.650,18.801,13.239,0,910.080,899.277,910.080,-10.804
1,0,1,0,0,0,0.244,0.225,40.122,31.442,0,907.056,880.412,907.056,-26.643
1,0,1,0,0,1,0.194,0.200,28.765,27.406,0,912.544,879.552,912.544,-32.992
1,0,1,0,1,0,0.440,0.375,23.590,24.583,0,915.285,884.719,915.285,-30.566
1,0,1,0,1,1,0.345,0.325,20.101,17.011,0,919.906,885.586,919.906,-34.320
1,0,1,1,0,0,0.430,0.425,16.415,14.584,0,907.124,878.061,907.124,-29.064
1,0,1,1,0,1,0.397,0.350,38.761,30.725,0,918.259,889.824,918.259,-28.435
