w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,2474.060,2474.060,2466.278,7.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,2483.414,2483.414,2474.645,8.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,2483.755,2483.755,2475.834,7.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,2495.394,2495.394,2482.975,12.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,2477.856,2477.856,2470.397,7.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,2489.667,2489.667,2482.010,7.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,2487.836,2487.836,2480.613,7.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,2503.662,2503.662,2491.219,12.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,2497.314,2497.314,2478.270,19.044
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,2505.013,2505.013,2488.640,16.373
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,2510.302,2510.302,2494.300,16.002
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,2509.616,2509.616,2497.633,11.983
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,2502.545,2502.545,2483.197,19.348
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,2511.560,2511.560,2495.092,16.467
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,2518.511,2518.511,2498.571,19.940
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,2522.327,2522.327,2505.134,17.194
0,1,0,0,0,0,0.256,0.250,43.985,48.660,1,2487.119,2487.119,2484.682,2.437
0,1,0,0,0,1,0.255,0.225,41.673,44.625,1,2492.335,2492.335,2491.478,0.856
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,2499.207,2499.207,2488.001,11.206
0,1,0,0,1,1,0.404,0.350,34.769,34.230,1,2499.205,2499.205,2494.527,4.678
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,2498.360,2498.360,2488.108,10.252
0,1,0,1,0,1,0.355,0.375,46.275,47.944,0,2500.076,2498.208,2500.076,-1.868
0,1,0,1,1,0,0.545,0.550,39.952,38.200,1,2504.091,2504.091,2494.039,10.051
0,1,0,1,1,1,0.613,0.600,40.515,31.500,1,2510.571,2510.571,2504.939,5.632
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,2522.520,2522.520,2484.583,37.936
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,2528.452,2528.452,2487.166,41.286
0,1,1,0,1,0,0.339,0.350,29.832,28.634,1,2532.164,2532.164,2488.670,43.494
0,1,1,0,1,1,0.278,0.300,26.250,21.062,1,2536.876,2536.876,2496.640,40.236
0,1,1,1,0,0,0.403,0.400,23.731,18.635,1,2526.133,2526.133,2485.313,40.820
0,1,1,1,0,1,0.313,0.325,47.022,34.776,1,2535.703,2535.703,2493.084,42.619
0,1,1,1,1,0,0.499,0.500,24.336,25.032,1,2532.645,2532.645,2492.457,40.189
0,1,1,1,1,1,0.549,0.550,24.655,18.332,1,2538.419,2538.419,2498.012,40.407
1,0,0,0,0,0,0.337,0.300,38.305,30.400,1,2483.333,2483.333,2473.602,9.731
1,0,0,0,0,1,0.255,0.275,35.973,26.365,1,2489.765,2489.765,2481.771,7.994
1,0,0,0,1,0,0.473,0.450,33.072,23.541,1,2492.913,2492.913,2481.349,11.564
1,0,0,0,1,1,0.378,0.400,18.447,15.969,1,2497.333,2497.333,2488.084,9.249
1,0,0,1,0,0,0.479,0.500,15.662,13.542,1,2479.009,2479.009,2473.115,5.895
1,0,0,1,0,1,0.388,0.425,26.401,29.684,1,2490.732,2490.732,2488.874,1.858
1,0,0,1,1,0,0.635,0.600,17.901,19.939,1,2490.107,2490.107,2484.481,5.626
1,0,0,1,1,1,0.674,0.650,18.801,13.239,1,2504.148,2504.148,2494.238,9.910
1,0,1,0,0,0,0.244,0.225,40.122,31.442,1,2504.160,2504.160,2482.926,21.234
1,0,1,0,0,1,0.194,0.200,28.765,27.406,1,2508.999,2508.999,2492.192,16.807
1,0,1,0,1,0,0.440,0.375,23.590,24.583,1,2511.057,2511.057,2495.727,15.330
1,0,1,0,1,1,0.345,0.325,20.101,17.011,1,2511.889,2511.889,2499.194,12.695
1,0,1,1,0,0,0.430,0.425,16.415,14.584,1,2502.493,2502.493,2483.087,19.406
1,0,1,1,0,1,0.397,0.350,38.761,30.725,1,2519.734,2519.734,2497.464,22.270
1,0,1,1,1,0,0.548,0.525,21.708,20.981,1,2513.612,2513.612,2497.780,15.832
1,0,1,1,1,1,0.581,0.575,17.260,14.281,1,2516.354,2516.354,2503.489,12.865
1,1,0,0,0,0,0.437,0.400,29.314,27.183,1,2489.558,2489.558,2484.350,5.208
1,1,0,0,0,1,0.385,0.375,24.974,23.148,1,2491.439,2491.439,2490.778,0.662
1,1,0,0,1,0,0.529,0.550,22.543,20.324,1,2493.991,2493.991,2484.208,9.783
1,1,0,0,1,1,0.502,0.500,18.708,12.752,1,2494.796,2494.796,2491.018,3.778
1,1,0,1,0,0,0.648,0.600,15.923,10.325,1,2488.072,2488.072,2480.952,7.120
1,1,0,1,0,1,0.618,0.525,23.831,26.466,1,2496.734,2496.734,2496.652,0.082
1,1,0,1,1,0,0.793,0.700,24.156,16.722,1,2505.720,2505.720,2486.485,19.235
1,1,0,1,1,1,0.753,0.750,13.298,10.022,1,2496.104,2496.104,2495.651,0.453
1,1,1,0,0,0,0.525,0.450,49.029,53.477,1,2543.228,2543.228,2502.017,41.211
1,1,1,0,0,1,0.502,0.425,62.495,49.442,1,2550.822,2550.822,2502.875,47.948
1,1,1,0,1,0,0.710,0.600,49.151,46.619,1,2553.336,2553.336,2508.774,44.562
1,1,1,0,1,1,0.550,0.550,36.767,39.047,1,2545.088,2545.088,2509.405,35.683
1,1,1,1,0,0,0.756,0.650,47.477,36.620,1,2555.120,2555.120,2502.130,52.990
1,1,1,1,0,1,0.541,0.575,48.539,52.761,1,2545.369,2545.369,2512.319,33.050
1,1,1,1,1,0,0.892,0.750,53.265,43.017,1,2564.212,2564.212,2514.358,49.854
1,1,1,1,1,1,0.814,0.800,32.577,36.317,1,2546.807,2546.807,2514.591,32.216
