w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,2074.060,2074.060,2068.278,5.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,2083.414,2083.414,2076.645,6.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,2083.755,2083.755,2077.834,5.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,2095.394,2095.394,2084.975,10.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,2077.856,2077.856,2072.397,5.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,2089.667,2089.667,2084.010,5.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,2087.836,2087.836,2082.613,5.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,2103.662,2103.662,2093.219,10.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,2097.314,2097.314,2080.355,16.958
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,2105.013,2105.013,2090.640,14.373
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,2110.302,2110.302,2096.748,13.554
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,2109.616,2109.616,2099.633,9.983
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,2102.545,2102.545,2085.510,17.035
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,2111.560,2111.560,2097.092,14.467
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,2118.511,2118.511,2101.317,17.194
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,2122.327,2122.327,2107.134,15.194
0,1,0,0,0,0,0.256,0.250,43.985,48.660,1,2087.119,2087.119,2086.682,0.437
0,1,0,0,0,1,0.255,0.225,41.673,44.625,0,2093.478,2092.335,2093.478,-1.144
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,2099.207,2099.207,2090.057,9.150
0,1,0,0,1,1,0.404,0.350,34.769,34.230,1,2099.205,2099.205,2096.527,2.678
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,2098.360,2098.360,2090.108,8.252
0,1,0,1,0,1,0.355,0.375,46.275,47.944,0,2102.076,2098.208,2102.076,-3.868
0,1,0,1,1,0,0.545,0.550,39.952,38.200,1,2104.091,2104.091,2096.117,7.974
0,1,0,1,1,1,0.613,0.600,40.515,31.500,1,2110.571,2110.571,2106.939,3.632
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,2122.520,2122.520,2086.849,35.670
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,2128.452,2128.452,2089.166,39.286
0,1,1,0,1,0,0.339,0.350,29.832,28.634,1,2132.164,2132.164,2091.338,40.826
0,1,1,0,1,1,0.278,0.300,26.250,21.062,1,2136.876,2136.876,2099.102,37.775
0,1,1,1,0,0,0.403,0.400,23.731,18.635,1,2126.133,2126.133,2087.846,38.287
0,1,1,1,0,1,0.313,0.325,47.022,34.776,1,2135.703,2135.703,2095.084,40.619
0,1,1,1,1,0,0.499,0.500,24.336,25.032,1,2132.645,2132.645,2095.411,37.234
0,1,1,1,1,1,0.549,0.550,24.655,18.332,1,2138.419,2138.419,2100.859,37.560
1,0,0,0,0,0,0.337,0.300,38.305,30.400,1,2083.333,2083.333,2075.602,7.731
1,0,0,0,0,1,0.255,0.275,35.973,26.365,1,2089.765,2089.765,2083.771,5.994
1,0,0,0,1,0,0.473,0.450,33.072,23.541,1,2092.913,2092.913,2083.349,9.564
