w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,5674.060,5674.060,5650.278,23.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,5683.414,5683.414,5658.645,24.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,5683.755,5683.755,5659.834,23.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,5695.394,5695.394,5666.975,28.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,5677.856,5677.856,5654.397,23.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,5689.667,5689.667,5666.010,23.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,5687.836,5687.836,5664.613,23.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,5703.662,5703.662,5675.219,28.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,5697.314,5697.314,5662.270,35.044
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,5705.013,5705.013,5672.640,32.373
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,5710.302,5710.302,5677.882,32.420
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,5709.616,5709.616,5681.633,27.983
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,5702.545,5702.545,5667.197,35.348
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,5711.560,5711.560,5679.092,32.467
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,5718.511,5718.511,5681.874,36.637
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,5722.327,5722.327,5689.134,33.194
0,1,0,0,0,0,0.256,0.250,43.985,48.660,1,5687.119,5687.119,5668.682,18.437
0,1,0,0,0,1,0.255,0.225,41.673,44.625,1,5692.335,5692.335,5675.478,16.856
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,5699.207,5699.207,5672.001,27.206
0,1,0,0,1,1,0.404,0.350,34.769,34.230,1,5699.205,5699.205,5678.527,20.678
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,5698.360,5698.360,5672.108,26.252
0,1,0,1,0,1,0.355,0.375,46.275,47.944,1,5698.208,5698.208,5684.076,14.132
0,1,0,1,1,0,0.545,0.550,39.952,38.200,1,5704.091,5704.091,5678.039,26.051
0,1,0,1,1,1,0.613,0.600,40.515,31.500,1,5710.571,5710.571,5688.939,21.632
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,5722.520,5722.520,5668.583,53.936
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,5728.452,5728.452,5671.166,57.286
0,1,1,0,1,0,0.339,0.350,29.832,28.634,1,5732.164,5732.164,5672.670,59.494
0,1,1,0,1,1,0.278,0.300,26.250,21.062,1,5736.876,5736.876,5680.640,56.236
0,1,1,1,0,0,0.403,0.400,23.731,18.635,1,5726.133,5726.133,5669.313,56.820
0,1,1,1,0,1,0.313,0.325,47.022,34.776,1,5735.703,5735.703,5677.084,58.619
0,1,1,1,1,0,0.499,0.500,24.336,25.032,1,5732.645,5732.645,5676.457,56.189
0,1,1,1,1,1,0.549,0.550,24.655,18.332,1,5738.419,5738.419,5682.012,56.407
1,0,0,0,0,0,0.337,0.300,38.305,30.400,1,5683.333,5683.333,5657.602,25.731
1,0,0,0,0,1,0.255,0.275,35.973,26.365,1,5689.765,5689.765,5665.771,23.994
1,0,0,0,1,0,0.473,0.450,33.072,23.541,1,5692.913,5692.913,5665.349,27.564
1,0,0,0,1,1,0.378,0.400,18.447,15.969,1,5697.333,5697.333,5672.084,25.249
1,0,0,1,0,0,0.479,0.500,15.662,13.542,1,5679.009,5679.009,5657.115,21.895
1,0,0,1,0,1,0.388,0.425,26.401,29.684,1,5690.732,5690.732,5672.874,17.858
1,0,0,1,1,0,0.635,0.600,17.901,19.939,1,5690.107,5690.107,5668.481,21.626
1,0,0,1,1,1,0.674,0.650,18.801,13.239,1,5704.148,5704.148,5678.238,25.910
1,0,1,0,0,0,0.244,0.225,40.122,31.442,1,5704.160,5704.160,5666.926,37.234
1,0,1,0,0,1,0.194,0.200,28.765,27.406,1,5708.999,5708.999,5676.192,32.807
1,0,1,0,1,0,0.440,0.375,23.590,24.583,1,5711.057,5711.057,5679.030,32.027
1,0,1,0,1,1,0.345,0.325,20.101,17.011,1,5711.889,5711.889,5683.194,28.695
1,0,1,1,0,0,0.430,0.425,16.415,14.584,1,5702.493,5702.493,5667.087,35.406
1,0,1,1,0,1,0.397,0.350,38.761,30.725,1,5719.734,5719.734,5681.464,38.270
1,0,1,1,1,0,0.548,0.525,21.708,20.981,1,5713.612,5713.612,5680.804,32.808
1,0,1,1,1,1,0.581,0.575,17.260,14.281,1,5716.354,5716.354,5687.489,28.865
1,1,0,0,0,0,0.437,0.400,29.314,27.183,1,5689.558,5689.558,5668.350,21.208
1,1,0,0,0,1,0.385,0.375,24.974,23.148,1,5691.439,5691.439,5674.778,16.662
1,1,0,0,1,0,0.529,0.550,22.543,20.324,1,5693.991,5693.991,5668.208,25.783
1,1,0,0,1,1,0.502,0.500,18.708,12.752,1,5694.796,5694.796,5675.018,19.778
1,1,0,1,0,0,0.648,0.600,15.923,10.325,1,5688.072,5688.072,5664.952,23.120
1,1,0,1,0,1,0.618,0.525,23.831,26.466,1,5696.734,5696.734,5680.652,16.082
1,1,0,1,1,0,0.793,0.700,24.156,16.722,1,5705.720,5705.720,5670.485,35.235
1,1,0,1,1,1,0.753,0.750,13.298,10.022,1,5696.104,5696.104,5679.651,16.453
1,1,1,0,0,0,0.525,0.450,49.029,53.477,1,5743.228,5743.228,5686.017,57.211
1,1,1,0,0,1,0.502,0.425,62.495,49.442,1,5750.822,5750.822,5686.875,63.948
1,1,1,0,1,0,0.710,0.600,49.151,46.619,1,5753.336,5753.336,5692.774,60.562
1,1,1,0,1,1,0.550,0.550,36.767,39.047,1,5745.088,5745.088,5693.405,51.683
1,1,1,1,0,0,0.756,0.650,47.477,36.620,1,5755.120,5755.120,5686.130,68.990
1,1,1,1,0,1,0.541,0.575,48.539,52.761,1,5745.369,5745.369,5696.319,49.050
1,1,1,1,1,0,0.892,0.750,53.265,43.017,1,5764.212,5764.212,5698.358,65.854
1,1,1,1,1,1,0.814,0.800,32.577,36.317,1,5746.807,5746.807,5698.591,48.216
