w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,3674.060,3674.060,3660.278,13.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,3683.414,3683.414,3668.645,14.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,3683.755,3683.755,3669.834,13.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,3695.394,3695.394,3676.975,18.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,3677.856,3677.856,3664.397,13.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,3689.667,3689.667,3676.010,13.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,3687.836,3687.836,3674.613,13.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,3703.662,3703.662,3685.219,18.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,3697.314,3697.314,3672.270,25.044
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,3705.013,3705.013,3682.640,22.373
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,3710.302,3710.302,3687.882,22.420
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,3709.616,3709.616,3691.633,17.983
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,3702.545,3702.545,3677.197,25.348
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,3711.560,3711.560,3689.092,22.467
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,3718.511,3718.511,3691.874,26.637
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,3722.327,3722.327,3699.134,23.194
0,1,0,0,0,0,0.256,0.250,43.985,48.660,1,3687.119,3687.119,3678.682,8.437
0,1,0,0,0,1,0.255,0.225,41.673,44.625,1,3692.335,3692.335,3685.478,6.856
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,3699.207,3699.207,3682.001,17.206
0,1,0,0,1,1,0.404,0.350,34.769,34.230,1,3699.205,3699.205,3688.527,10.678
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,3698.360,3698.360,3682.108,16.252
0,1,0,1,0,1,0.355,0.375,46.275,47.944,1,3698.208,3698.208,3694.076,4.132
0,1,0,1,1,0,0.545,0.550,39.952,38.200,1,3704.091,3704.091,3688.039,16.051
0,1,0,1,1,1,0.613,0.600,40.515,31.500,1,3710.571,3710.571,3698.939,11.632
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,3722.520,3722.520,3678.583,43.936
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,3728.452,3728.452,3681.166,47.286
0,1,1,0,1,0,0.339,0.350,29.832,28.634,1,3732.164,3732.164,3682.670,49.494
0,1,1,0,1,1,0.278,0.300,26.250,21.062,1,3736.876,3736.876,3690.640,46.236
0,1,1,1,0,0,0.403,0.400,23.731,18.635,1,3726.133,3726.133,3679.313,46.820
0,1,1,1,0,1,0.313,0.325,47.022,34.776,1,3735.703,3735.703,3687.084,48.619
0,1,1,1,1,0,0.499,0.500,24.336,25.032,1,3732.645,3732.645,3686.457,46.189
0,1,1,1,1,1,0.549,0.550,24.655,18.332,1,3738.419,3738.419,3692.012,46.407
1,0,0,0,0,0,0.337,0.300,38.305,30.400,1,3683.333,3683.333,3667.602,15.731
1,0,0,0,0,1,0.255,0.275,35.973,26.365,1,3689.765,3689.765,3675.771,13.994
1,0,0,0,1,0,0.473,0.450,33.072,23.541,1,3692.913,3692.913,3675.349,17.564
1,0,0,0,1,1,0.378,0.400,18.447,15.969,1,3697.333,3697.333,3682.084,15.249
1,0,0,1,0,0,0.479,0.500,15.662,13.542,1,3679.009,3679.009,3667.115,11.895
1,0,0,1,0,1,0.388,0.425,26.401,29.684,1,3690.732,3690.732,3682.874,7.858
1,0,0,1,1,0,0.635,0.600,17.901,19.939,1,3690.107,3690.107,3678.481,11.626
1,0,0,1,1,1,0.674,0.650,18.801,13.239,1,3704.148,3704.148,3688.238,15.910
1,0,1,0,0,0,0.244,0.225,40.122,31.442,1,3704.160,3704.160,3676.926,27.234
1,0,1,0,0,1,0.194,0.200,28.765,27.406,1,3708.999,3708.999,3686.192,22.807
1,0,1,0,1,0,0.440,0.375,23.590,24.583,1,3711.057,3711.057,3689.030,22.027
1,0,1,0,1,1,0.345,0.325,20.101,17.011,1,3711.889,3711.889,3693.194,18.695
1,0,1,1,0,0,0.430,0.425,16.415,14.584,1,3702.493,3702.493,3677.087,25.406
1,0,1,1,0,1,0.397,0.350,38.761,30.725,1,3719.734,3719.734,3691.464,28.270
1,0,1,1,1,0,0.548,0.525,21.708,20.981,1,3713.612,3713.612,3690.804,22.808
1,0,1,1,1,1,0.581,0.575,17.260,14.281,1,3716.354,3716.354,3697.489,18.865
1,1,0,0,0,0,0.437,0.400,29.314,27.183,1,3689.558,3689.558,3678.350,11.208
1,1,0,0,0,1,0.385,0.375,24.974,23.148,1,3691.439,3691.439,3684.778,6.662
1,1,0,0,1,0,0.529,0.550,22.543,20.324,1,3693.991,3693.991,3678.208,15.783
1,1,0,0,1,1,0.502,0.500,18.708,12.752,1,3694.796,3694.796,3685.018,9.778
1,1,0,1,0,0,0.648,0.600,15.923,10.325,1,3688.072,3688.072,3674.952,13.120
1,1,0,1,0,1,0.618,0.525,23.831,26.466,1,3696.734,3696.734,3690.652,6.082
1,1,0,1,1,0,0.793,0.700,24.156,16.722,1,3705.720,3705.720,3680.485,25.235
1,1,0,1,1,1,0.753,0.750,13.298,10.022,1,3696.104,3696.104,3689.651,6.453
1,1,1,0,0,0,0.525,0.450,49.029,53.477,1,3743.228,3743.228,3696.017,47.211
1,1,1,0,0,1,0.502,0.425,62.495,49.442,1,3750.822,3750.822,3696.875,53.948
1,1,1,0,1,0,0.710,0.600,49.151,46.619,1,3753.336,3753.336,3702.774,50.562
1,1,1,0,1,1,0.550,0.550,36.767,39.047,1,3745.088,3745.088,3703.405,41.683
1,1,1,1,0,0,0.756,0.650,47.477,36.620,1,3755.120,3755.120,3696.130,58.990
1,1,1,1,0,1,0.541,0.575,48.539,52.761,1,3745.369,3745.369,3706.319,39.050
1,1,1,1,1,0,0.892,0.750,53.265,43.017,1,3764.212,3764.212,3708.358,55.854
1,1,1,1,1,1,0.814,0.800,32.577,36.317,1,3746.807,3746.807,3708.591,38.216
