w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,4274.060,4274.060,4257.278,16.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,4283.414,4283.414,4265.645,17.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,4283.755,4283.755,4266.834,16.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,4295.394,4295.394,4273.975,21.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,4277.856,4277.856,4261.397,16.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,4289.667,4289.667,4273.010,16.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,4287.836,4287.836,4271.613,16.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,4303.662,4303.662,4282.219,21.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,4297.314,4297.314,4269.270,28.044
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,4305.013,4305.013,4279.640,25.373
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,4310.302,4310.302,4284.882,25.420
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,4309.616,4309.616,4288.633,20.983
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,4302.545,4302.545,4274.197,28.348
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,4311.560,4311.560,4286.092,25.467
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,4318.511,4318.511,4288.874,29.637
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,4322.327,4322.327,4296.134,26.194
0,1,0,0,0,0,0.256,0.250,43.985,48.660,1,4287.119,4287.119,4275.682,11.437
0,1,0,0,0,1,0.255,0.225,41.673,44.625,1,4292.335,4292.335,4282.478,9.856
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,4299.207,4299.207,4279.001,20.206
0,1,0,0,1,1,0.404,0.350,34.769,34.230,1,4299.205,4299.205,4285.527,13.678
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,4298.360,4298.360,4279.108,19.252
0,1,0,1,0,1,0.355,0.375,46.275,47.944,1,4298.208,4298.208,4291.076,7.132
0,1,0,1,1,0,0.545,0.550,39.952,38.200,1,4304.091,4304.091,4285.039,19.051
0,1,0,1,1,1,0.613,0.600,40.515,31.500,1,4310.571,4310.571,4295.939,14.632
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,4322.520,4322.520,4275.583,46.936
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,4328.452,4328.452,4278.166,50.286
0,1,1,0,1,0,0.339,0.350,29.832,28.634,1,4332.164,4332.164,4279.670,52.494
0,1,1,0,1,1,0.278,0.300,26.250,21.062,1,4336.876,4336.876,4287.640,49.236
0,1,1,1,0,0,0.403,0.400,23.731,18.635,1,4326.133,4326.133,4276.313,49.820
0,1,1,1,0,1,0.313,0.325,47.022,34.776,1,4335.703,4335.703,4284.084,51.619
0,1,1,1,1,0,0.499,0.500,24.336,25.032,1,4332.645,4332.645,4283.457,49.189
0,1,1,1,1,1,0.549,0.550,24.655,18.332,1,4338.419,4338.419,4289.012,49.407
1,0,0,0,0,0,0.337,0.300,38.305,30.400,1,4283.333,4283.333,4264.602,18.731
1,0,0,0,0,1,0.255,0.275,35.973,26.365,1,4289.765,4289.765,4272.771,16.994
1,0,0,0,1,0,0.473,0.450,33.072,23.541,1,4292.913,4292.913,4272.349,20.564
1,0,0,0,1,1,0.378,0.400,18.447,15.969,1,4297.333,4297.333,4279.084,18.249
1,0,0,1,0,0,0.479,0.500,15.662,13.542,1,4279.009,4279.009,4264.115,14.895
1,0,0,1,0,1,0.388,0.425,26.401,29.684,1,4290.732,4290.732,4279.874,10.858
1,0,0,1,1,0,0.635,0.600,17.901,19.939,1,4290.107,4290.107,4275.481,14.626
1,0,0,1,1,1,0.674,0.650,18.801,13.239,1,4304.148,4304.148,4285.238,18.910
1,0,1,0,0,0,0.244,0.225,40.122,31.442,1,4304.160,4304.160,4273.926,30.234
1,0,1,0,0,1,0.194,0.200,28.765,27.406,1,4308.999,4308.999,4283.192,25.807
1,0,1,0,1,0,0.440,0.375,23.590,24.583,1,4311.057,4311.057,4286.030,25.027
1,0,1,0,1,1,0.345,0.325,20.101,17.011,1,4311.889,4311.889,4290.194,21.695
1,0,1,1,0,0,0.430,0.425,16.415,14.584,1,4302.493,4302.493,4274.087,28.406
1,0,1,1,0,1,0.397,0.350,38.761,30.725,1,4319.734,4319.734,4288.464,31.270
1,0,1,1,1,0,0.548,0.525,21.708,20.981,1,4313.612,4313.612,4287.804,25.808
1,0,1,1,1,1,0.581,0.575,17.260,14.281,1,4316.354,4316.354,4294.489,21.865
1,1,0,0,0,0,0.437,0.400,29.314,27.183,1,4289.558,4289.558,4275.350,14.208
1,1,0,0,0,1,0.385,0.375,24.974,23.148,1,4291.439,4291.439,4281.778,9.662
1,1,0,0,1,0,0.529,0.550,22.543,20.324,1,4293.991,4293.991,4275.208,18.783
1,1,0,0,1,1,0.502,0.500,18.708,12.752,1,4294.796,4294.796,4282.018,12.778
1,1,0,1,0,0,0.648,0.600,15.923,10.325,1,4288.072,4288.072,4271.952,16.120
1,1,0,1,0,1,0.618,0.525,23.831,26.466,1,4296.734,4296.734,4287.652,9.082
1,1,0,1,1,0,0.793,0.700,24.156,16.722,1,4305.720,4305.720,4277.485,28.235
1,1,0,1,1,1,0.753,0.750,13.298,10.022,1,4296.104,4296.104,4286.651,9.453
1,1,1,0,0,0,0.525,0.450,49.029,53.477,1,4343.228,4343.228,4293.017,50.211
1,1,1,0,0,1,0.502,0.425,62.495,49.442,1,4350.822,4350.822,4293.875,56.948
1,1,1,0,1,0,0.710,0.600,49.151,46.619,1,4353.336,4353.336,4299.774,53.562
1,1,1,0,1,1,0.550,0.550,36.767,39.047,1,4345.088,4345.088,4300.405,44.683
1,1,1,1,0,0,0.756,0.650,47.477,36.620,1,4355.120,4355.120,4293.130,61.990
1,1,1,1,0,1,0.541,0.575,48.539,52.761,1,4345.369,4345.369,4303.319,42.050
1,1,1,1,1,0,0.892,0.750,53.265,43.017,1,4364.212,4364.212,4305.358,58.854
1,1,1,1,1,1,0.814,0.800,32.577,36.317,1,4346.807,4346.807,4305.591,41.216
