w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,0,887.029,863.016,887.029,-24.013
0,0,0,0,0,1,0.076,0.075,35.718,32.539,0,894.845,870.250,894.845,-24.596
0,0,0,0,1,0,0.279,0.250,29.421,29.716,0,896.437,872.248,896.437,-24.189
0,0,0,0,1,1,0.235,0.200,23.727,22.144,0,902.473,879.890,902.473,-22.584
0,0,0,1,0,0,0.282,0.300,27.874,19.717,0,890.842,866.532,890.842,-24.310
0,0,0,1,0,1,0.238,0.225,38.157,35.858,0,901.374,877.569,901.374,-23.805
0,0,0,1,1,0,0.425,0.400,25.850,26.113,0,901.025,876.202,901.025,-24.823
0,0,0,1,1,1,0.504,0.450,25.444,19.414,0,908.686,889.159,908.686,-19.528
0,0,1,0,0,0,0.086,0.075,45.212,42.627,0,902.470,865.153,902.470,-37.317
0,0,1,0,0,1,0.058,0.050,38.316,38.591,0,908.550,866.873,908.550,-41.677
0,0,1,0,1,0,0.256,0.225,44.326,35.768,0,912.649,875.425,912.649,-37.223
0,0,1,0,1,1,0.184,0.175,30.370,28.196,0,918.584,874.922,918.584,-43.662
0,0,1,1,0,0,0.249,0.275,32.767,25.769,0,907.304,869.780,907.304,-37.524
0,0,1,1,0,1,0.212,0.200,38.051,41.910,0,915.445,873.055,915.445,-42.390
0,0,1,1,1,0,0.448,0.375,39.562,32.166,0,918.129,883.151,918.129,-34.978
0,0,1,1,1,1,0.494,0.425,33.392,25.466,0,925.686,886.458,925.686,-39.227
0,1,0,0,0,0,0.256,0.250,43.985,48.660,0,903.436,874.166,903.436,-29.270
0,1,0,0,0,1,0.255,0.225,41.673,44.625,0,908.183,881.502,908.183,-26.681
0,1,0,0,1,0,0.459,0.400,39.962,41.802,0,911.028,885.025,911.028,-26.003
0,1,0,0,1,1,0.404,0.350,34.769,34.230,0,913.991,889.126,913.991,-24.865
0,1,0,1,0,0,0.487,0.450,43.884,31.803,0,906.937,885.556,906.937,-21.381
0,1,0,1,0,1,0.355,0.375,46.275,47.944,0,916.757,887.752,916.757,-29.005
0,1,0,1,1,0,0.545,0.550,39.952,38.200,0,917.387,889.389,917.387,-27.998
0,1,0,1,1,1,0.613,0.600,40.515,31.500,0,922.264,901.015,922.264,-21.249
0,1,1,0,0,0,0.213,0.200,34.686,35.493,0,906.598,886.426,906.598,-20.172
0,1,1,0,0,1,0.197,0.175,33.040,31.457,0,908.809,891.521,908.809,-17.289
