w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,0,887.029,869.016,887.029,-18.013
0,0,0,0,0,1,0.076,0.075,35.718,32.539,0,894.845,876.250,894.845,-18.596
0,0,0,0,1,0,0.279,0.250,29.421,29.716,0,896.437,878.248,896.437,-18.189
0,0,0,0,1,1,0.235,0.200,23.727,22.144,0,902.473,885.890,902.473,-16.584
0,0,0,1,0,0,0.282,0.300,27.874,19.717,0,890.842,872.532,890.842,-18.310
0,0,0,1,0,1,0.238,0.225,38.157,35.858,0,901.374,883.569,901.374,-17.805
0,0,0,1,1,0,0.425,0.400,25.850,26.113,0,901.025,882.202,901.025,-18.823
0,0,0,1,1,1,0.504,0.450,25.444,19.414,0,908.686,895.159,908.686,-13.528
0,0,1,0,0,0,0.086,0.075,45.212,42.627,0,902.470,871.153,902.470,-31.317
0,0,1,0,0,1,0.058,0.050,38.316,38.591,0,908.550,872.873,908.550,-35.677
0,0,1,0,1,0,0.256,0.225,44.326,35.768,0,912.649,881.425,912.649,-31.223
0,0,1,0,1,1,0.184,0.175,30.370,28.196,0,918.584,880.922,918.584,-37.662
0,0,1,1,0,0,0.249,0.275,32.767,25.769,0,907.304,875.780,907.304,-31.524
0,0,1,1,0,1,0.212,0.200,38.051,41.910,0,915.445,879.055,915.445,-36.390
0,0,1,1,1,0,0.448,0.375,39.562,32.166,0,918.129,889.151,918.129,-28.978
0,0,1,1,1,1,0.494,0.425,33.392,25.466,0,925.686,892.458,925.686,-33.227
0,1,0,0,0,0,0.256,0.250,43.985,48.660,0,903.436,880.166,903.436,-23.270
0,1,0,0,0,1,0.255,0.225,41.673,44.625,0,908.183,887.502,908.183,-20.681
0,1,0,0,1,0,0.459,0.400,39.962,41.802,0,911.028,891.025,911.028,-20.003
0,1,0,0,1,1,0.404,0.350,34.769,34.230,0,913.991,895.126,913.991,-18.865
0,1,0,1,0,0,0.487,0.450,43.884,31.803,0,906.937,891.556,906.937,-15.381
0,1,0,1,0,1,0.355,0.375,46.275,47.944,0,916.757,893.752,916.757,-23.005
0,1,0,1,1,0,0.545,0.550,39.952,38.200,0,917.387,895.389,917.387,-21.998
0,1,0,1,1,1,0.613,0.600,40.515,31.500,0,922.264,907.015,922.264,-15.249
0,1,1,0,0,0,0.213,0.200,34.686,35.493,0,906.598,892.426,906.598,-14.172
0,1,1,0,0,1,0.197,0.175,33.040,31.457,0,908.809,897.521,908.809,-11.289
0,1,1,0,1,0,0.339,0.350,29.832,28.634,0,910.051,898.765,910.051,-11.287
0,1,1,0,1,1,0.278,0.300,26.250,21.062,0,912.380,907.308,912.380,-5.072
0,1,1,1,0,0,0.403,0.400,23.731,18.635,0,907.809,894.620,907.809,-13.189
0,1,1,1,0,1,0.313,0.325,47.022,34.776,0,914.852,905.327,914.852,-9.524
0,1,1,1,1,0,0.499,0.500,24.336,25.032,0,914.556,902.244,914.556,-12.312
0,1,1,1,1,1,0.549,0.550,24.655,18.332,0,916.528,912.113,916.528,-4.415
1,0,0,0,0,0,0.337,0.300,38.305,30.400,0,894.047,877.920,894.047,-16.127
1,0,0,0,0,1,0.255,0.275,35.973,26.365,0,900.856,883.783,900.856,-17.073
1,0,0,0,1,0,0.473,0.450,33.072,23.541,0,901.697,887.237,901.697,-14.460
1,0,0,0,1,1,0.378,0.400,18.447,15.969,0,905.957,888.361,905.957,-17.596
1,0,0,1,0,0,0.479,0.500,15.662,13.542,0,893.254,873.367,893.254,-19.886
1,0,0,1,0,1,0.388,0.425,26.401,29.684,0,907.123,885.624,907.123,-21.499
1,0,0,1,1,0,0.635,0.600,17.901,19.939,0,904.639,884.290,904.639,-20.349
1,0,0,1,1,1,0.674,0.650,18.801,13.239,0,910.080,896.277,910.080,-13.804
1,0,1,0,0,0,0.244,0.225,40.122,31.442,0,907.056,877.412,907.056,-29.643
1,0,1,0,0,1,0.194,0.200,28.765,27.406,0,912.544,876.536,912.544,-36.008
1,0,1,0,1,0,0.440,0.375,23.590,24.583,0,915.285,881.719,915.285,-33.566
1,0,1,0,1,1,0.345,0.325,20.101,17.011,0,919.906,882.586,919.906,-37.320
1,0,1,1,0,0,0.430,0.425,16.415,14.584,0,907.124,875.061,907.124,-32.064
1,0,1,1,0,1,0.397,0.350,38.761,30.725,0,918.259,886.791,918.259,-31.467
1,0,1,1,1,0,0.548,0.525,21.708,20.981,0,918.547,884.002,918.547,-34.545
1,0,1,1,1,1,0.581,0.575,17.260,14.281,0,923.802,886.156,923.802,-37.646
1,1,0,0,0,0,0.437,0.400,29.314,27.183,0,903.160,882.722,903.160,-20.438
1,1,0,0,0,1,0.385,0.375,24.974,23.148,0,907.458,887.098,907.458,-20.360
1,1,0,0,1,0,0.529,0.550,22.543,20.324,0,907.556,885.383,907.556,-22.172
1,1,0,0,1,1,0.502,0.500,18.708,12.752,0,909.199,890.961,909.199,-18.238
1,1,0,1,0,0,0.648,0.600,15.923,10.325,0,899.837,881.372,899.837,-18.465
1,1,0,1,0,1,0.618,0.525,23.831,26.466,0,913.309,893.269,913.309,-20.039
1,1,0,1,1,0,0.793,0.700,24.156,16.722,0,910.153,895.513,910.153,-14.640
