w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,3874.060,3874.060,3859.278,14.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,3883.414,3883.414,3867.645,15.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,3883.755,3883.755,3868.834,14.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,3895.394,3895.394,3875.975,19.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,3877.856,3877.856,3863.397,14.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,3889.667,3889.667,3875.010,14.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,3887.836,3887.836,3873.613,14.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,3903.662,3903.662,3884.219,19.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,3897.314,3897.314,3871.270,26.044
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,3905.013,3905.013,3881.640,23.373
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,3910.302,3910.302,3886.882,23.420
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,3909.616,3909.616,3890.633,18.983
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,3902.545,3902.545,3876.197,26.348
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,3911.560,3911.560,3888.092,23.467
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,3918.511,3918.511,3890.874,27.637
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,3922.327,3922.327,3898.134,24.194
0,1,0,0,0,0,0.256,0.250,43.985,48.660,1,3887.119,3887.119,3877.682,9.437
0,1,0,0,0,1,0.255,0.225,41.673,44.625,1,3892.335,3892.335,3884.478,7.856
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,3899.207,3899.207,3881.001,18.206
0,1,0,0,1,1,0.404,0.350,34.769,34.230,1,3899.205,3899.205,3887.527,11.678
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,3898.360,3898.360,3881.108,17.252
0,1,0,1,0,1,0.355,0.375,46.275,47.944,1,3898.208,3898.208,3893.076,5.132
0,1,0,1,1,0,0.545,0.550,39.952,38.200,1,3904.091,3904.091,3887.039,17.051
0,1,0,1,1,1,0.613,0.600,40.515,31.500,1,3910.571,3910.571,3897.939,12.632
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,3922.520,3922.520,3877.583,44.936
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,3928.452,3928.452,3880.166,48.286
0,1,1,0,1,0,0.339,0.350,29.832,28.634,1,3932.164,3932.164,3881.670,50.494
