w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,5074.060,5074.060,5053.278,20.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,5083.414,5083.414,5061.645,21.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,5083.755,5083.755,5062.834,20.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,5095.394,5095.394,5069.975,25.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,5077.856,5077.856,5057.397,20.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,5089.667,5089.667,5069.010,20.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,5087.836,5087.836,5067.613,20.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,5103.662,5103.662,5078.219,25.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,5097.314,5097.314,5065.270,32.044
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,5105.013,5105.013,5075.640,29.373
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,5110.302,5110.302,5080.882,29.420
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,5109.616,5109.616,5084.633,24.983
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,5102.545,5102.545,5070.197,32.348
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,5111.560,5111.560,5082.092,29.467
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,5118.511,5118.511,5084.874,33.637
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,5122.327,5122.327,5092.134,30.194
0,1,0,0,0,0,0.256,0.250,43.985,48.660,1,5087.119,5087.119,5071.682,15.437
0,1,0,0,0,1,0.255,0.225,41.673,44.625,1,5092.335,5092.335,5078.478,13.856
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,5099.207,5099.207,5075.001,24.206
0,1,0,0,1,1,0.404,0.350,34.769,34.230,1,5099.205,5099.205,5081.527,17.678
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,5098.360,5098.360,5075.108,23.252
0,1,0,1,0,1,0.355,0.375,46.275,47.944,1,5098.208,5098.208,5087.076,11.132
0,1,0,1,1,0,0.545,0.550,39.952,38.200,1,5104.091,5104.091,5081.039,23.051
0,1,0,1,1,1,0.613,0.600,40.515,31.500,1,5110.571,5110.571,5091.939,18.632
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,5122.520,5122.520,5071.583,50.936
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,5128.452,5128.452,5074.166,54.286
0,1,1,0,1,0,0.339,0.350,29.832,28.634,1,5132.164,5132.164,5075.670,56.494
0,1,1,0,1,1,0.278,0.300,26.250,21.062,1,5136.876,5136.876,5083.640,53.236
0,1,1,1,0,0,0.403,0.400,23.731,18.635,1,5126.133,5126.133,5072.313,53.820
0,1,1,1,0,1,0.313,0.325,47.022,34.776,1,5135.703,5135.703,5080.084,55.619
0,1,1,1,1,0,0.499,0.500,24.336,25.032,1,5132.645,5132.645,5079.457,53.189
0,1,1,1,1,1,0.549,0.550,24.655,18.332,1,5138.419,5138.419,5085.012,53.407
1,0,0,0,0,0,0.337,0.300,38.305,30.400,1,5083.333,5083.333,5060.602,22.731
1,0,0,0,0,1,0.255,0.275,35.973,26.365,1,5089.765,5089.765,5068.771,20.994
1,0,0,0,1,0,0.473,0.450,33.072,23.541,1,5092.913,5092.913,5068.349,24.564
1,0,0,0,1,1,0.378,0.400,18.447,15.969,1,5097.333,5097.333,5075.084,22.249
1,0,0,1,0,0,0.479,0.500,15.662,13.542,1,5079.009,5079.009,5060.115,18.895
1,0,0,1,0,1,0.388,0.425,26.401,29.684,1,5090.732,5090.732,5075.874,14.858
1,0,0,1,1,0,0.635,0.600,17.901,19.939,1,5090.107,5090.107,5071.481,18.626
1,0,0,1,1,1,0.674,0.650,18.801,13.239,1,5104.148,5104.148,5081.238,22.910
1,0,1,0,0,0,0.244,0.225,40.122,31.442,1,5104.160,5104.160,5069.926,34.234
1,0,1,0,0,1,0.194,0.200,28.765,27.406,1,5108.999,5108.999,5079.192,29.807
1,0,1,0,1,0,0.440,0.375,23.590,24.583,1,5111.057,5111.057,5082.030,29.027
1,0,1,0,1,1,0.345,0.325,20.101,17.011,1,5111.889,5111.889,5086.194,25.695
1,0,1,1,0,0,0.430,0.425,16.415,14.584,1,5102.493,5102.493,5070.087,32.406
1,0,1,1,0,1,0.397,0.350,38.761,30.725,1,5119.734,5119.734,5084.464,35.270
1,0,1,1,1,0,0.548,0.525,21.708,20.981,1,5113.612,5113.612,5083.804,29.808
1,0,1,1,1,1,0.581,0.575,17.260,14.281,1,5116.354,5116.354,5090.489,25.865
1,1,0,0,0,0,0.437,0.400,29.314,27.183,1,5089.558,5089.558,5071.350,18.208
1,1,0,0,0,1,0.385,0.375,24.974,23.148,1,5091.439,5091.439,5077.778,13.662
1,1,0,0,1,0,0.529,0.550,22.543,20.324,1,5093.991,5093.991,5071.208,22.783
1,1,0,0,1,1,0.502,0.500,18.708,12.752,1,5094.796,5094.796,5078.018,16.778
