w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,1874.060,1874.060,1869.278,4.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,1883.414,1883.414,1877.645,5.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,1883.755,1883.755,1878.834,4.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,1895.394,1895.394,1885.975,9.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,1877.856,1877.856,1873.397,4.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,1889.667,1889.667,1885.010,4.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,1887.836,1887.836,1883.613,4.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,1903.662,1903.662,1894.219,9.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,1897.314,1897.314,1881.948,15.366
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,1905.013,1905.013,1891.640,13.373
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,1910.302,1910.302,1897.972,12.330
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,1909.616,1909.616,1900.633,8.983
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,1902.545,1902.545,1887.190,15.355
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,1911.560,1911.560,1898.092,13.467
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,1918.511,1918.511,1902.690,15.821
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,1922.327,1922.327,1908.134,14.194
0,1,0,0,0,0,0.256,0.250,43.985,48.660,0,1887.682,1887.119,1887.682,-0.563
0,1,0,0,0,1,0.255,0.225,41.673,44.625,0,1894.478,1892.335,1894.478,-2.144
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,1899.207,1899.207,1891.455,7.752
