w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,1074.060,1074.060,1073.278,0.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,1083.414,1083.414,1081.645,1.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,1083.755,1083.755,1082.834,0.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,1095.394,1095.394,1089.975,5.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,1077.856,1077.856,1077.397,0.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,1089.667,1089.667,1089.010,0.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,1087.836,1087.836,1087.613,0.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,1103.662,1103.662,1098.219,5.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,1097.314,1097.314,1089.928,7.386
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,1105.013,1105.013,1095.800,9.213
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,1110.302,1110.302,1102.867,7.435
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,1109.616,1109.616,1105.178,4.438
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,1102.545,1102.545,1095.170,7.375
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,1111.560,1111.560,1102.731,8.828
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,1118.511,1118.511,1108.183,10.328
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,1122.327,1122.327,1113.091,9.236
0,1,0,0,0,0,0.256,0.250,43.985,48.660,0,1091.682,1087.119,1091.682,-4.563
0,1,0,0,0,1,0.255,0.225,41.673,44.625,0,1098.478,1092.335,1098.478,-6.144
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,1099.207,1099.207,1097.707,1.500
0,1,0,0,1,1,0.404,0.350,34.769,34.230,0,1102.416,1099.205,1102.416,-3.211
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,1098.360,1098.360,1095.108,3.252
0,1,0,1,0,1,0.355,0.375,46.275,47.944,0,1107.076,1098.208,1107.076,-8.868
0,1,0,1,1,0,0.545,0.550,39.952,38.200,0,1104.348,1104.091,1104.348,-0.257
0,1,0,1,1,1,0.613,0.600,40.515,31.500,0,1112.486,1110.571,1112.486,-1.915
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,1122.520,1122.520,1094.271,28.249
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,1128.452,1128.452,1095.278,33.175
0,1,1,0,1,0,0.339,0.350,29.832,28.634,1,1132.164,1132.164,1098.079,34.085
0,1,1,0,1,1,0.278,0.300,26.250,21.062,1,1136.876,1136.876,1105.696,31.180
0,1,1,1,0,0,0.403,0.400,23.731,18.635,1,1126.133,1126.133,1095.905,30.227
0,1,1,1,0,1,0.313,0.325,47.022,34.776,1,1135.703,1135.703,1101.700,34.003
0,1,1,1,1,0,0.499,0.500,24.336,25.032,1,1132.645,1132.645,1102.899,29.747
0,1,1,1,1,1,0.549,0.550,24.655,18.332,1,1138.419,1138.419,1108.782,29.637
1,0,0,0,0,0,0.337,0.300,38.305,30.400,1,1083.333,1083.333,1080.602,2.731
1,0,0,0,0,1,0.255,0.275,35.973,26.365,1,1089.765,1089.765,1088.771,0.994
1,0,0,0,1,0,0.473,0.450,33.072,23.541,1,1092.913,1092.913,1088.349,4.564
1,0,0,0,1,1,0.378,0.400,18.447,15.969,1,1097.333,1097.333,1095.084,2.249
1,0,0,1,0,0,0.479,0.500,15.662,13.542,0,1080.115,1079.009,1080.115,-1.105
1,0,0,1,0,1,0.388,0.425,26.401,29.684,0,1095.874,1090.732,1095.874,-5.142
1,0,0,1,1,0,0.635,0.600,17.901,19.939,0,1091.481,1090.107,1091.481,-1.374
1,0,0,1,1,1,0.674,0.650,18.801,13.239,1,1104.148,1104.148,1101.238,2.910
1,0,1,0,0,0,0.244,0.225,40.122,31.442,1,1104.160,1104.160,1094.819,9.340
1,0,1,0,0,1,0.194,0.200,28.765,27.406,1,1108.999,1108.999,1099.831,9.168
1,0,1,0,1,0,0.440,0.375,23.590,24.583,1,1111.057,1111.057,1105.339,5.718
1,0,1,0,1,1,0.345,0.325,20.101,17.011,1,1111.889,1111.889,1106.987,4.902
1,0,1,1,0,0,0.430,0.425,16.415,14.584,1,1102.493,1102.493,1095.296,7.197
1,0,1,1,0,1,0.397,0.350,38.761,30.725,1,1119.734,1119.734,1105.582,14.152
