w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,0,887.029,871.016,887.029,-16.013
0,0,0,0,0,1,0.076,0.075,35.718,32.539,0,894.845,878.250,894.845,-16.596
0,0,0,0,1,0,0.279,0.250,29.421,29.716,0,896.437,880.248,896.437,-16.189
0,0,0,0,1,1,0.235,0.200,23.727,22.144,0,902.473,887.890,902.473,-14.584
0,0,0,1,0,0,0.282,0.300,27.874,19.717,0,890.842,874.532,890.842,-16.310
0,0,0,1,0,1,0.238,0.225,38.157,35.858,0,901.374,885.569,901.374,-15.805
0,0,0,1,1,0,0.425,0.400,25.850,26.113,0,901.025,884.202,901.025,-16.823
0,0,0,1,1,1,0.504,0.450,25.444,19.414,0,908.686,897.159,908.686,-11.528
0,0,1,0,0,0,0.086,0.075,45.212,42.627,0,902.470,873.153,902.470,-29.317
0,0,1,0,0,1,0.058,0.050,38.316,38.591,0,908.550,874.873,908.550,-33.677
0,0,1,0,1,0,0.256,0.225,44.326,35.768,0,912.649,883.425,912.649,-29.223
0,0,1,0,1,1,0.184,0.175,30.370,28.196,0,918.584,882.922,918.584,-35.662
0,0,1,1,0,0,0.249,0.275,32.767,25.769,0,907.304,877.780,907.304,-29.524
0,0,1,1,0,1,0.212,0.200,38.051,41.910,0,915.445,881.055,915.445,-34.390
0,0,1,1,1,0,0.448,0.375,39.562,32.166,0,918.129,891.151,918.129,-26.978
0,0,1,1,1,1,0.494,0.425,33.392,25.466,0,925.686,894.458,925.686,-31.227
0,1,0,0,0,0,0.256,0.250,43.985,48.660,0,903.436,882.166,903.436,-21.270
0,1,0,0,0,1,0.255,0.225,41.673,44.625,0,908.183,889.502,908.183,-18.681
0,1,0,0,1,0,0.459,0.400,39.962,41.802,0,911.028,893.025,911.028,-18.003
0,1,0,0,1,1,0.404,0.350,34.769,34.230,0,913.991,897.126,913.991,-16.865
0,1,0,1,0,0,0.487,0.450,43.884,31.803,0,906.937,893.556,906.937,-13.381
0,1,0,1,0,1,0.355,0.375,46.275,47.944,0,916.757,895.752,916.757,-21.005
0,1,0,1,1,0,0.545,0.550,39.952,38.200,0,917.387,897.389,917.387,-19.998
0,1,0,1,1,1,0.613,0.600,40.515,31.500,0,922.264,909.015,922.264,-13.249
0,1,1,0,0,0,0.213,0.200,34.686,35.493,0,906.598,894.426,906.598,-12.172
0,1,1,0,0,1,0.197,0.175,33.040,31.457,0,908.809,899.521,908.809,-9.289
0,1,1,0,1,0,0.339,0.350,29.832,28.634,0,910.051,900.765,910.051,-9.287
0,1,1,0,1,1,0.278,0.300,26.250,21.062,0,912.380,910.744,912.380,-1.636
0,1,1,1,0,0,0.403,0.400,23.731,18.635,0,907.809,896.620,907.809,-11.189
0,1,1,1,0,1,0.313,0.325,47.022,34.776,0,914.852,907.327,914.852,-7.524
0,1,1,1,1,0,0.499,0.500,24.336,25.032,0,914.556,904.244,914.556,-10.312
