w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,1674.060,1674.060,1670.278,3.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,1683.414,1683.414,1678.645,4.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,1683.755,1683.755,1679.834,3.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,1695.394,1695.394,1686.975,8.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,1677.856,1677.856,1674.397,3.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,1689.667,1689.667,1686.010,3.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,1687.836,1687.836,1684.613,3.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,1703.662,1703.662,1695.219,8.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,1697.314,1697.314,1683.943,13.371
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,1705.013,1705.013,1692.640,12.373
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,1710.302,1710.302,1699.196,11.106
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,1709.616,1709.616,1701.633,7.983
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,1702.545,1702.545,1689.185,13.360
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,1711.560,1711.560,1699.092,12.467
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,1718.511,1718.511,1704.063,14.448
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,1722.327,1722.327,1709.134,13.194
0,1,0,0,0,0,0.256,0.250,43.985,48.660,0,1688.682,1687.119,1688.682,-1.563
0,1,0,0,0,1,0.255,0.225,41.673,44.625,0,1695.478,1692.335,1695.478,-3.144
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,1699.207,1699.207,1692.853,6.354
0,1,0,0,1,1,0.404,0.350,34.769,34.230,1,1699.205,1699.205,1698.527,0.678
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,1698.360,1698.360,1692.108,6.252
0,1,0,1,0,1,0.355,0.375,46.275,47.944,0,1704.076,1698.208,1704.076,-5.868
0,1,0,1,1,0,0.545,0.550,39.952,38.200,1,1704.091,1704.091,1699.211,4.879
0,1,0,1,1,1,0.613,0.600,40.515,31.500,1,1710.571,1710.571,1708.939,1.632
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,1722.520,1722.520,1689.247,33.272
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,1728.452,1728.452,1691.205,37.247
0,1,1,0,1,0,0.339,0.350,29.832,28.634,1,1732.164,1732.164,1694.035,38.130
0,1,1,0,1,1,0.278,0.300,26.250,21.062,1,1736.876,1736.876,1701.699,35.178
0,1,1,1,0,0,0.403,0.400,23.731,18.635,1,1726.133,1726.133,1690.642,35.491
0,1,1,1,0,1,0.313,0.325,47.022,34.776,1,1735.703,1735.703,1697.156,38.548
0,1,1,1,1,0,0.499,0.500,24.336,25.032,1,1732.645,1732.645,1698.406,34.239
0,1,1,1,1,1,0.549,0.550,24.655,18.332,1,1738.419,1738.419,1703.953,34.466
1,0,0,0,0,0,0.337,0.300,38.305,30.400,1,1683.333,1683.333,1677.602,5.731
1,0,0,0,0,1,0.255,0.275,35.973,26.365,1,1689.765,1689.765,1685.771,3.994
1,0,0,0,1,0,0.473,0.450,33.072,23.541,1,1692.913,1692.913,1685.349,7.564
1,0,0,0,1,1,0.378,0.400,18.447,15.969,1,1697.333,1697.333,1692.084,5.249
1,0,0,1,0,0,0.479,0.500,15.662,13.542,1,1679.009,1679.009,1677.115,1.895
1,0,0,1,0,1,0.388,0.425,26.401,29.684,0,1692.874,1690.732,1692.874,-2.142
1,0,0,1,1,0,0.635,0.600,17.901,19.939,1,1690.107,1690.107,1688.481,1.626
1,0,0,1,1,1,0.674,0.650,18.801,13.239,1,1704.148,1704.148,1698.238,5.910
1,0,1,0,0,0,0.244,0.225,40.122,31.442,1,1704.160,1704.160,1688.834,15.325
1,0,1,0,0,1,0.194,0.200,28.765,27.406,1,1708.999,1708.999,1696.192,12.807
1,0,1,0,1,0,0.440,0.375,23.590,24.583,1,1711.057,1711.057,1701.220,9.837
1,0,1,0,1,1,0.345,0.325,20.101,17.011,1,1711.889,1711.889,1703.194,8.695
1,0,1,1,0,0,0.430,0.425,16.415,14.584,1,1702.493,1702.493,1689.311,13.182
1,0,1,1,0,1,0.397,0.350,38.761,30.725,1,1719.734,1719.734,1701.464,18.270
1,0,1,1,1,0,0.548,0.525,21.708,20.981,1,1713.612,1713.612,1703.869,9.743
1,0,1,1,1,1,0.581,0.575,17.260,14.281,1,1716.354,1716.354,1707.489,8.865
1,1,0,0,0,0,0.437,0.400,29.314,27.183,1,1689.558,1689.558,1688.350,1.208
1,1,0,0,0,1,0.385,0.375,24.974,23.148,0,1694.778,1691.439,1694.778,-3.338
1,1,0,0,1,0,0.529,0.550,22.543,20.324,1,1693.991,1693.991,1689.380,4.611
1,1,0,0,1,1,0.502,0.500,18.708,12.752,0,1695.018,1694.796,1695.018,-0.222
1,1,0,1,0,0,0.648,0.600,15.923,10.325,1,1688.072,1688.072,1684.952,3.120
1,1,0,1,0,1,0.618,0.525,23.831,26.466,0,1700.652,1696.734,1700.652,-3.918
1,1,0,1,1,0,0.793,0.700,24.156,16.722,1,1705.720,1705.720,1691.976,13.744
1,1,0,1,1,1,0.753,0.750,13.298,10.022,0,1699.651,1696.104,1699.651,-3.547
1,1,1,0,0,0,0.525,0.450,49.029,53.477,1,1743.228,1743.228,1707.512,35.716
1,1,1,0,0,1,0.502,0.425,62.495,49.442,1,1750.822,1750.822,1706.968,43.854
1,1,1,0,1,0,0.710,0.600,49.151,46.619,1,1753.336,1753.336,1715.113,38.223
1,1,1,0,1,1,0.550,0.550,36.767,39.047,1,1745.088,1745.088,1715.346,29.741
1,1,1,1,0,0,0.756,0.650,47.477,36.620,1,1755.120,1755.120,1708.289,46.831
1,1,1,1,0,1,0.541,0.575,48.539,52.761,1,1745.369,1745.369,1716.446,28.923
1,1,1,1,1,0,0.892,0.750,53.265,43.017,1,1764.212,1764.212,1721.282,42.930
1,1,1,1,1,1,0.814,0.800,32.577,36.317,1,1746.807,1746.807,1721.414,25.393
