w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,2674.060,2674.060,2665.278,8.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,2683.414,2683.414,2673.645,9.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,2683.755,2683.755,2674.834,8.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,2695.394,2695.394,2681.975,13.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,2677.856,2677.856,2669.397,8.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,2689.667,2689.667,2681.010,8.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,2687.836,2687.836,2679.613,8.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,2703.662,2703.662,2690.219,13.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,2697.314,2697.314,2677.270,20.044
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,2705.013,2705.013,2687.640,17.373
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,2710.302,2710.302,2693.076,17.226
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,2709.616,2709.616,2696.633,12.983
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,2702.545,2702.545,2682.197,20.348
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,2711.560,2711.560,2694.092,17.467
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,2718.511,2718.511,2697.198,21.313
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,2722.327,2722.327,2704.134,18.194
0,1,0,0,0,0,0.256,0.250,43.985,48.660,1,2687.119,2687.119,2683.682,3.437
0,1,0,0,0,1,0.255,0.225,41.673,44.625,1,2692.335,2692.335,2690.478,1.856
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,2699.207,2699.207,2687.001,12.206
0,1,0,0,1,1,0.404,0.350,34.769,34.230,1,2699.205,2699.205,2693.527,5.678
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,2698.360,2698.360,2687.108,11.252
0,1,0,1,0,1,0.355,0.375,46.275,47.944,0,2699.076,2698.208,2699.076,-0.868
0,1,0,1,1,0,0.545,0.550,39.952,38.200,1,2704.091,2704.091,2693.039,11.051
0,1,0,1,1,1,0.613,0.600,40.515,31.500,1,2710.571,2710.571,2703.939,6.632
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,2722.520,2722.520,2683.583,38.936
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,2728.452,2728.452,2686.166,42.286
0,1,1,0,1,0,0.339,0.350,29.832,28.634,1,2732.164,2732.164,2687.670,44.494
0,1,1,0,1,1,0.278,0.300,26.250,21.062,1,2736.876,2736.876,2695.640,41.236
0,1,1,1,0,0,0.403,0.400,23.731,18.635,1,2726.133,2726.133,2684.313,41.820
0,1,1,1,0,1,0.313,0.325,47.022,34.776,1,2735.703,2735.703,2692.084,43.619
0,1,1,1,1,0,0.499,0.500,24.336,25.032,1,2732.645,2732.645,2691.457,41.189
0,1,1,1,1,1,0.549,0.550,24.655,18.332,1,2738.419,2738.419,2697.012,41.407
1,0,0,0,0,0,0.337,0.300,38.305,30.400,1,2683.333,2683.333,2672.602,10.731
1,0,0,0,0,1,0.255,0.275,35.973,26.365,1,2689.765,2689.765,2680.771,8.994
1,0,0,0,1,0,0.473,0.450,33.072,23.541,1,2692.913,2692.913,2680.349,12.564
1,0,0,0,1,1,0.378,0.400,18.447,15.969,1,2697.333,2697.333,2687.084,10.249
1,0,0,1,0,0,0.479,0.500,15.662,13.542,1,2679.009,2679.009,2672.115,6.895
1,0,0,1,0,1,0.388,0.425,26.401,29.684,1,2690.732,2690.732,2687.874,2.858
1,0,0,1,1,0,0.635,0.600,17.901,19.939,1,2690.107,2690.107,2683.481,6.626
1,0,0,1,1,1,0.674,0.650,18.801,13.239,1,2704.148,2704.148,2693.238,10.910
1,0,1,0,0,0,0.244,0.225,40.122,31.442,1,2704.160,2704.160,2681.926,22.234
1,0,1,0,0,1,0.194,0.200,28.765,27.406,1,2708.999,2708.999,2691.192,17.807
1,0,1,0,1,0,0.440,0.375,23.590,24.583,1,2711.057,2711.057,2694.354,16.703
1,0,1,0,1,1,0.345,0.325,20.101,17.011,1,2711.889,2711.889,2698.194,13.695
1,0,1,1,0,0,0.430,0.425,16.415,14.584,1,2702.493,2702.493,2682.087,20.406
1,0,1,1,0,1,0.397,0.350,38.761,30.725,1,2719.734,2719.734,2696.464,23.270
1,0,1,1,1,0,0.548,0.525,21.708,20.981,1,2713.612,2713.612,2696.257,17.355
1,0,1,1,1,1,0.581,0.575,17.260,14.281,1,2716.354,2716.354,2702.489,13.865
1,1,0,0,0,0,0.437,0.400,29.314,27.183,1,2689.558,2689.558,2683.350,6.208
1,1,0,0,0,1,0.385,0.375,24.974,23.148,1,2691.439,2691.439,2689.778,1.662
1,1,0,0,1,0,0.529,0.550,22.543,20.324,1,2693.991,2693.991,2683.208,10.783
1,1,0,0,1,1,0.502,0.500,18.708,12.752,1,2694.796,2694.796,2690.018,4.778
1,1,0,1,0,0,0.648,0.600,15.923,10.325,1,2688.072,2688.072,2679.952,8.120
1,1,0,1,0,1,0.618,0.525,23.831,26.466,1,2696.734,2696.734,2695.652,1.082
1,1,0,1,1,0,0.793,0.700,24.156,16.722,1,2705.720,2705.720,2685.485,20.235
1,1,0,1,1,1,0.753,0.750,13.298,10.022,1,2696.104,2696.104,2694.651,1.453
1,1,1,0,0,0,0.525,0.450,49.029,53.477,1,2743.228,2743.228,2701.017,42.211
1,1,1,0,0,1,0.502,0.425,62.495,49.442,1,2750.822,2750.822,2701.875,48.948
1,1,1,0,1,0,0.710,0.600,49.151,46.619,1,2753.336,2753.336,2707.774,45.562
1,1,1,0,1,1,0.550,0.550,36.767,39.047,1,2745.088,2745.088,2708.405,36.683
1,1,1,1,0,0,0.756,0.650,47.477,36.620,1,2755.120,2755.120,2701.130,53.990
1,1,1,1,0,1,0.541,0.575,48.539,52.761,1,2745.369,2745.369,2711.319,34.050
1,1,1,1,1,0,0.892,0.750,53.265,43.017,1,2764.212,2764.212,2713.358,50.854
1,1,1,1,1,1,0.814,0.800,32.577,36.317,1,2746.807,2746.807,2713.591,33.216
