w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,0,887.029,862.016,887.029,-25.013
0,0,0,0,0,1,0.076,0.075,35.718,32.539,0,894.845,869.250,894.845,-25.596
0,0,0,0,1,0,0.279,0.250,29.421,29.716,0,896.437,871.248,896.437,-25.189
0,0,0,0,1,1,0.235,0.200,23.727,22.144,0,902.473,878.890,902.473,-23.584
0,0,0,1,0,0,0.282,0.300,27.874,19.717,0,890.842,865.532,890.842,-25.310
0,0,0,1,0,1,0.238,0.225,38.157,35.858,0,901.374,876.569,901.374,-24.805
0,0,0,1,1,0,0.425,0.400,25.850,26.113,0,901.025,875.202,901.025,-25.823
0,0,0,1,1,1,0.504,0.450,25.444,19.414,0,908.686,888.159,908.686,-20.528
0,0,1,0,0,0,0.086,0.075,45.212,42.627,0,902.470,864.153,902.470,-38.317
0,0,1,0,0,1,0.058,0.050,38.316,38.591,0,908.550,865.873,908.550,-42.677
0,0,1,0,1,0,0.256,0.225,44.326,35.768,0,912.649,874.425,912.649,-38.223
0,0,1,0,1,1,0.184,0.175,30.370,28.196,0,918.584,873.922,918.584,-44.662
0,0,1,1,0,0,0.249,0.275,32.767,25.769,0,907.304,868.780,907.304,-38.524
0,0,1,1,0,1,0.212,0.200,38.051,41.910,0,915.445,872.055,915.445,-43.390
0,0,1,1,1,0,0.448,0.375,39.562,32.166,0,918.129,882.151,918.129,-35.978
0,0,1,1,1,1,0.494,0.425,33.392,25.466,0,925.686,885.458,925.686,-40.227
0,1,0,0,0,0,0.256,0.250,43.985,48.660,0,903.436,873.166,903.436,-30.270
0,1,0,0,0,1,0.255,0.225,41.673,44.625,0,908.183,880.502,908.183,-27.681
0,1,0,0,1,0,0.459,0.400,39.962,41.802,0,911.028,884.025,911.028,-27.003
0,1,0,0,1,1,0.404,0.350,34.769,34.230,0,913.991,888.126,913.991,-25.865
0,1,0,1,0,0,0.487,0.450,43.884,31.803,0,906.937,884.556,906.937,-22.381
0,1,0,1,0,1,0.355,0.375,46.275,47.944,0,916.757,886.752,916.757,-30.005
0,1,0,1,1,0,0.545,0.550,39.952,38.200,0,917.387,888.389,917.387,-28.998
0,1,0,1,1,1,0.613,0.600,40.515,31.500,0,922.264,900.015,922.264,-22.249
0,1,1,0,0,0,0.213,0.200,34.686,35.493,0,906.598,885.426,906.598,-21.172
0,1,1,0,0,1,0.197,0.175,33.040,31.457,0,908.809,890.521,908.809,-18.289
0,1,1,0,1,0,0.339,0.350,29.832,28.634,0,910.051,891.765,910.051,-18.287
0,1,1,0,1,1,0.278,0.300,26.250,21.062,0,912.380,897.779,912.380,-14.601
0,1,1,1,0,0,0.403,0.400,23.731,18.635,0,907.809,887.620,907.809,-20.189
0,1,1,1,0,1,0.313,0.325,47.022,34.776,0,914.852,898.327,914.852,-16.524
0,1,1,1,1,0,0.499,0.500,24.336,25.032,0,914.556,895.244,914.556,-19.312
0,1,1,1,1,1,0.549,0.550,24.655,18.332,0,916.528,903.533,916.528,-12.995
1,0,0,0,0,0,0.337,0.300,38.305,30.400,0,894.047,870.920,894.047,-23.127
1,0,0,0,0,1,0.255,0.275,35.973,26.365,0,900.856,876.783,900.856,-24.073
1,0,0,0,1,0,0.473,0.450,33.072,23.541,0,901.697,880.237,901.697,-21.460
1,0,0,0,1,1,0.378,0.400,18.447,15.969,0,905.957,881.361,905.957,-24.596
1,0,0,1,0,0,0.479,0.500,15.662,13.542,0,893.254,866.367,893.254,-26.886
1,0,0,1,0,1,0.388,0.425,26.401,29.684,0,907.123,878.624,907.123,-28.499
1,0,0,1,1,0,0.635,0.600,17.901,19.939,0,904.639,877.290,904.639,-27.349
1,0,0,1,1,1,0.674,0.650,18.801,13.239,0,910.080,889.277,910.080,-20.804
1,0,1,0,0,0,0.244,0.225,40.122,31.442,0,907.056,870.412,907.056,-36.643
1,0,1,0,0,1,0.194,0.200,28.765,27.406,0,912.544,869.536,912.544,-43.008
1,0,1,0,1,0,0.440,0.375,23.590,24.583,0,915.285,874.719,915.285,-40.566
1,0,1,0,1,1,0.345,0.325,20.101,17.011,0,919.906,875.586,919.906,-44.320
1,0,1,1,0,0,0.430,0.425,16.415,14.584,0,907.124,868.061,907.124,-39.064
1,0,1,1,0,1,0.397,0.350,38.761,30.725,0,918.259,879.791,918.259,-38.467
1,0,1,1,1,0,0.548,0.525,21.708,20.981,0,918.547,877.002,918.547,-41.545
1,0,1,1,1,1,0.581,0.575,17.260,14.281,0,923.802,879.156,923.802,-44.646
1,1,0,0,0,0,0.437,0.400,29.314,27.183,0,903.160,875.722,903.160,-27.438
1,1,0,0,0,1,0.385,0.375,24.974,23.148,0,907.458,880.098,907.458,-27.360
1,1,0,0,1,0,0.529,0.550,22.543,20.324,0,907.556,878.383,907.556,-29.172
1,1,0,0,1,1,0.502,0.500,18.708,12.752,0,909.199,883.961,909.199,-25.238
1,1,0,1,0,0,0.648,0.600,15.923,10.325,0,899.837,874.372,899.837,-25.465
1,1,0,1,0,1,0.618,0.525,23.831,26.466,0,913.309,886.269,913.309,-27.039
1,1,0,1,1,0,0.793,0.700,24.156,16.722,0,910.153,888.513,910.153,-21.640
1,1,0,1,1,1,0.753,0.750,13.298,10.022,0,911.693,885.896,911.693,-25.797
1,1,1,0,0,0,0.525,0.450,49.029,53.477,0,924.634,903.807,924.634,-20.827
1,1,1,0,0,1,0.502,0.425,62.495,49.442,0,924.726,914.354,924.726,-10.372
1,1,1,0,1,0,0.710,0.600,49.151,46.619,0,931.352,919.880,931.352,-11.472
1,1,1,0,1,1,0.550,0.550,36.767,39.047,0,927.921,910.217,927.921,-17.704
1,1,1,1,0,0,0.756,0.650,47.477,36.620,0,925.227,913.975,925.227,-11.252
1,1,1,1,0,1,0.541,0.575,48.539,52.761,0,934.296,909.086,934.296,-25.210
1,1,1,1,1,0,0.892,0.750,53.265,43.017,0,937.654,934.175,937.654,-3.479
1,1,1,1,1,1,0.814,0.800,32.577,36.317,0,935.882,916.038,935.882,-19.844
