w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,4474.060,4474.060,4456.278,17.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,4483.414,4483.414,4464.645,18.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,4483.755,4483.755,4465.834,17.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,4495.394,4495.394,4472.975,22.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,4477.856,4477.856,4460.397,17.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,4489.667,4489.667,4472.010,17.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,4487.836,4487.836,4470.613,17.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,4503.662,4503.662,4481.219,22.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,4497.314,4497.314,4468.270,29.044
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,4505.013,4505.013,4478.640,26.373
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,4510.302,4510.302,4483.882,26.420
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,4509.616,4509.616,4487.633,21.983
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,4502.545,4502.545,4473.197,29.348
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,4511.560,4511.560,4485.092,26.467
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,4518.511,4518.511,4487.874,30.637
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,4522.327,4522.327,4495.134,27.194
0,1,0,0,0,0,0.256,0.250,43.985,48.660,1,4487.119,4487.119,4474.682,12.437
0,1,0,0,0,1,0.255,0.225,41.673,44.625,1,4492.335,4492.335,4481.478,10.856
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,4499.207,4499.207,4478.001,21.206
0,1,0,0,1,1,0.404,0.350,34.769,34.230,1,4499.205,4499.205,4484.527,14.678
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,4498.360,4498.360,4478.108,20.252
0,1,0,1,0,1,0.355,0.375,46.275,47.944,1,4498.208,4498.208,4490.076,8.132
0,1,0,1,1,0,0.545,0.550,39.952,38.200,1,4504.091,4504.091,4484.039,20.051
0,1,0,1,1,1,0.613,0.600,40.515,31.500,1,4510.571,4510.571,4494.939,15.632
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,4522.520,4522.520,4474.583,47.936
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,4528.452,4528.452,4477.166,51.286
