time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
100725;30959;21.953125;885.0;6;0;0 
104650;3923;23.5140625;264.0;7;0;0 
123915;19264;22.73359375;839.0;8;0;0 
128629;4713;23.123828125000003;264.0;9;0;0 
147982;19336;22.9287109375;826.0;10;0;0 
167238;19256;23.02626953125;826.0;11;0;0 
186261;19022;23.075048828125002;826.0;12;0;0 
191291;5028;23.099438476562504;274.0;13;0;0 
210389;19097;23.08724365234375;826.0;14;0;0 
229602;19211;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19230;19230;0.1;1000.0;1;0;0 
21984;2754;50.05;0.0;2;0;0 
25322;3337;25.075;209.0;3;0;0 
44553;19231;12.5875;1000.0;4;0;0 
63792;19237;18.83125;938.0;5;0;0 
83161;19368;21.953125;885.0;6;0;0 
87067;3906;23.5140625;264.0;7;0;0 
106387;19319;22.73359375;839.0;8;0;0 
111045;4657;23.123828125000003;264.0;9;0;0 
130176;19130;22.9287109375;826.0;10;0;0 
149362;19186;23.02626953125;826.0;11;0;0 
168521;19157;23.075048828125002;826.0;12;0;0 
173570;5049;23.099438476562504;274.0;13;0;0 
192611;19040;23.08724365234375;826.0;14;0;0 
211912;19285;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19120;19120;0.1;1000.0;1;0;0 
21839;2717;50.05;0.0;2;0;0 
25251;3412;25.075;209.0;3;0;0 
44407;19155;12.5875;1000.0;4;0;0 
63508;19100;18.83125;938.0;5;0;0 
82680;19171;21.953125;885.0;6;0;0 
86566;3885;23.5140625;264.0;7;0;0 
105850;19284;22.73359375;839.0;8;0;0 
110537;4686;23.123828125000003;264.0;9;0;0 
129706;19169;22.9287109375;826.0;10;0;0 
148828;19122;23.02626953125;826.0;11;0;0 
167921;19092;23.075048828125002;826.0;12;0;0 
172970;5049;23.099438476562504;274.0;13;0;0 
191992;19021;23.08724365234375;826.0;14;0;0 
211226;19232;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19107;19107;0.1;1000.0;1;0;0 
21791;2683;50.05;0.0;2;0;0 
25107;3300;25.075;209.0;3;0;0 
