;Unnamed: 0;logit;linear;rf_clf;rf_regr;gtb_clf;gtb_regr;kpi;training_set_size
R2;;;0.76065;;0.82983;;0.83132;R2;3000
accuracy;;0.6686;;0.6546;;0.6697;;accuracy;2000
precision;;0.46569;;0.51575;;0.48596;;precision;2000
recall;;0.62875;;0.58945;;0.62422;;recall;2000
f1_score;;0.53507;;0.55014;;0.54648;;f1_score;2000
Explained Variance;;0.90701;;0.52822;;0.81941;;Explained Variance;2000
Mean Squared Error;;0.00307;;0.01558;;0.00596;;Mean Squared Error;2000
Root Mean Squared Error;;0.05542;;0.1248;;0.07722;;Root Mean Squared Error;2000
Mean Absolut Error;;0.04439;;0.10014;;0.05991;;Mean Absolut Error;2000
R2;;0.90696;;0.52822;;0.81938;;R2;2000
Explained Variance;;;0.7582;;0.81698;;0.8186;Explained Variance;2000
Mean Squared Error;;;158.6731;;119.95729;;118.85568;Mean Squared Error;2000
Root Mean Squared Error;;;12.59655;;10.9525;;10.9021;Root Mean Squared Error;2000
Mean Absolut Error;;;10.1512;;8.88468;;8.89862;Mean Absolut Error;2000
R2;;;0.7576;;0.81674;;0.81843;R2;2000
accuracy;;0.6697;;0.6502;;0.6639;;accuracy;1000
precision;;0.52405;;0.53773;;0.55067;;precision;1000
recall;;0.61314;;0.57841;;0.59719;;recall;1000
f1_score;;0.56511;;0.55733;;0.57299;;f1_score;1000
Explained Variance;;0.82878;;-0.00352;;0.63868;;Explained Variance;1000
Mean Squared Error;;0.00587;;0.03323;;0.01205;;Mean Squared Error;1000
Root Mean Squared Error;;0.07664;;0.18228;;0.10978;;Root Mean Squared Error;1000
Mean Absolut Error;;0.06156;;0.14002;;0.08631;;Mean Absolut Error;1000
R2;;0.8221;;-0.00643;;0.63498;;R2;1000
Explained Variance;;;0.7422;;0.75011;;0.79152;Explained Variance;1000
Mean Squared Error;;;168.82659;;163.57664;;136.64359;Mean Squared Error;1000
Root Mean Squared Error;;;12.99333;;12.78971;;11.68947;Root Mean Squared Error;1000
Mean Absolut Error;;;10.39387;;10.06902;;9.47378;Mean Absolut Error;1000
R2;;;0.74209;;0.75011;;0.79125;R2;1000
accuracy;;0.6652;;0.6217;;0.6516;;accuracy;500
precision;;0.45201;;0.44127;;0.44664;;precision;500
recall;;0.6264;;0.54724;;0.60026;;recall;500
f1_score;;0.52511;;0.48858;;0.51218;;f1_score;500
Explained Variance;;0.84378;;-0.47524;;0.45396;;Explained Variance;500
Mean Squared Error;;0.00541;;0.04972;;0.01847;;Mean Squared Error;500
Root Mean Squared Error;;0.07355;;0.22298;;0.13589;;Root Mean Squared Error;500
Mean Absolut Error;;0.05992;;0.17613;;0.09961;;Mean Absolut Error;500
R2;;0.83615;;-0.50599;;0.44065;;R2;500
Explained Variance;;;0.73505;;0.75289;;0.76735;Explained Variance;500
Mean Squared Error;;;175.6361;;162.81646;;153.35775;Mean Squared Error;500
Root Mean Squared Error;;;13.25278;;12.75996;;12.38377;Root Mean Squared Error;500
Mean Absolut Error;;;10.65765;;10.28233;;10.03561;Mean Absolut Error;500
R2;;;0.73169;;0.75127;;0.76572;R2;500
accuracy;;0.6392;;0.5892;;0.6069;;accuracy;200
precision;;0.41123;;0.4525;;0.3685;;precision;200
recall;;0.58452;;0.49825;;0.52873;;recall;200
f1_score;;0.4828;;0.47428;;0.43431;;f1_score;200
Explained Variance;;0.39488;;-1.21044;;-0.58306;;Explained Variance;200
Mean Squared Error;;0.02128;;0.07397;;0.05447;;Mean Squared Error;200
Root Mean Squared Error;;0.14586;;0.27197;;0.23339;;Root Mean Squared Error;200
Mean Absolut Error;;0.11633;;0.22929;;0.18912;;Mean Absolut Error;200
R2;;0.35558;;-1.24043;;-0.64989;;R2;200
Explained Variance;;;0.6259;;0.71381;;0.63614;Explained Variance;200
Mean Squared Error;;;246.6661;;188.78497;;238.37918;Mean Squared Error;200
Root Mean Squared Error;;;15.70561;;13.7399;;15.43953;Root Mean Squared Error;200
Mean Absolut Error;;;12.55464;;10.89853;;12.26391;Mean Absolut Error;200
R2;;;0.62317;;0.7116;;0.63583;R2;200
accuracy;;0.6392;;0.5906;;0.6069;;accuracy;100
precision;;0.41123;;0.41978;;0.3685;;precision;100
recall;;0.58452;;0.50015;;0.52873;;recall;100
f1_score;;0.4828;;0.45645;;0.43431;;f1_score;100
Explained Variance;;0.39488;;-1.24383;;-0.58306;;Explained Variance;100
Mean Squared Error;;0.02128;;0.07563;;0.05447;;Mean Squared Error;100
Root Mean Squared Error;;0.14586;;0.27501;;0.23339;;Root Mean Squared Error;100
Mean Absolut Error;;0.11633;;0.22857;;0.18912;;Mean Absolut Error;100
R2;;0.35558;;-1.29084;;-0.64989;;R2;100
Explained Variance;;;0.6259;;0.70565;;0.6376;Explained Variance;100
Mean Squared Error;;;246.6661;;196.28028;;237.46577;Mean Squared Error;100
Root Mean Squared Error;;;15.70561;;14.01001;;15.40992;Root Mean Squared Error;100
Mean Absolut Error;;;12.55464;;11.06153;;12.25033;Mean Absolut Error;100
R2;;;0.62317;;0.70015;;0.63723;R2;100
accuracy;;0.6392;;0.5872;;0.6069;;accuracy;50
precision;;0.41123;;0.43297;;0.3685;;precision;50
recall;;0.58452;;0.49539;;0.52873;;recall;50
f1_score;;0.4828;;0.46208;;0.43431;;f1_score;50
Explained Variance;;0.39488;;-1.28071;;-0.58306;;Explained Variance;50
Mean Squared Error;;0.02128;;0.07664;;0.05447;;Mean Squared Error;50
Root Mean Squared Error;;0.14586;;0.27684;;0.23339;;Root Mean Squared Error;50
Mean Absolut Error;;0.11633;;0.22649;;0.18912;;Mean Absolut Error;50
R2;;0.35558;;-1.32139;;-0.64989;;R2;50
Explained Variance;;;0.6259;;0.71144;;0.63872;Explained Variance;50
Mean Squared Error;;;246.6661;;190.8474;;236.66476;Mean Squared Error;50
Root Mean Squared Error;;;15.70561;;13.81475;;15.38391;Root Mean Squared Error;50
Mean Absolut Error;;;12.55464;;10.95931;;12.22391;Mean Absolut Error;50
R2;;;0.62317;;0.70845;;0.63845;R2;50
