;Unnamed: 0;logit;linear;rf_clf;rf_regr;gtb_clf;gtb_regr;kpi;training_set_size
0;0,0;models/logit_model_10000.sav;models/linear_model_10000.sav;models/random_forest_clf_10000.sav;models/random_forest_regr_10000.sav;models/gradient_boosting_clf_10000.sav;models/gradient_boosting_regr_10000.sav;filenames;10000
1;1,0;models/logit_model_8000.sav;models/linear_model_8000.sav;models/random_forest_clf_8000.sav;models/random_forest_regr_8000.sav;models/gradient_boosting_clf_8000.sav;models/gradient_boosting_regr_8000.sav;filenames;8000
2;2,0;models/logit_model_6000.sav;models/linear_model_6000.sav;models/random_forest_clf_6000.sav;models/random_forest_regr_6000.sav;models/gradient_boosting_clf_6000.sav;models/gradient_boosting_regr_6000.sav;filenames;6000
3;3,0;models/logit_model_5000.sav;models/linear_model_5000.sav;models/random_forest_clf_5000.sav;models/random_forest_regr_5000.sav;models/gradient_boosting_clf_5000.sav;models/gradient_boosting_regr_5000.sav;filenames;5000
4;4,0;models/logit_model_4000.sav;models/linear_model_4000.sav;models/random_forest_clf_4000.sav;models/random_forest_regr_4000.sav;models/gradient_boosting_clf_4000.sav;models/gradient_boosting_regr_4000.sav;filenames;4000
5;5,0;models/logit_model_3000.sav;models/linear_model_3000.sav;models/random_forest_clf_3000.sav;models/random_forest_regr_3000.sav;models/gradient_boosting_clf_3000.sav;models/gradient_boosting_regr_3000.sav;filenames;3000
6;6,0;models/logit_model_2000.sav;models/linear_model_2000.sav;models/random_forest_clf_2000.sav;models/random_forest_regr_2000.sav;models/gradient_boosting_clf_2000.sav;models/gradient_boosting_regr_2000.sav;filenames;2000
7;7,0;models/logit_model_1000.sav;models/linear_model_1000.sav;models/random_forest_clf_1000.sav;models/random_forest_regr_1000.sav;models/gradient_boosting_clf_1000.sav;models/gradient_boosting_regr_1000.sav;filenames;1000
8;8,0;models/logit_model_500.sav;models/linear_model_500.sav;models/random_forest_clf_500.sav;models/random_forest_regr_500.sav;models/gradient_boosting_clf_500.sav;models/gradient_boosting_regr_500.sav;filenames;500
9;9,0;models/logit_model_200.sav;models/linear_model_200.sav;models/random_forest_clf_200.sav;models/random_forest_regr_200.sav;models/gradient_boosting_clf_200.sav;models/gradient_boosting_regr_200.sav;filenames;200
10;10,0;models/logit_model_100.sav;models/linear_model_100.sav;models/random_forest_clf_100.sav;models/random_forest_regr_100.sav;models/gradient_boosting_clf_100.sav;models/gradient_boosting_regr_100.sav;filenames;100
11;11,0;models/logit_model_50.sav;models/linear_model_50.sav;models/random_forest_clf_50.sav;models/random_forest_regr_50.sav;models/gradient_boosting_clf_50.sav;models/gradient_boosting_regr_50.sav;filenames;50
accuracy;;0.6729;;0.6705;;0.6744;;accuracy;10000
precision;;0.46276;;0.48938;;0.47228;;precision;10000
recall;;0.63891;;0.62469;;0.63849;;recall;10000
f1_score;;0.53675;;0.54882;;0.54295;;f1_score;10000
Explained Variance;;0.94696;;0.91508;;0.95185;;Explained Variance;10000
Mean Squared Error;;0.0018;;0.00286;;0.00164;;Mean Squared Error;10000
Root Mean Squared Error;;0.04241;;0.05344;;0.04045;;Root Mean Squared Error;10000
Mean Absolut Error;;0.03425;;0.04016;;0.03259;;Mean Absolut Error;10000
R2;;0.94552;;0.9135;;0.95043;;R2;10000
Explained Variance;;;0.76511;;0.85242;;0.84462;Explained Variance;10000
Mean Squared Error;;;153.77084;;96.63281;;101.71272;Mean Squared Error;10000
Root Mean Squared Error;;;12.40044;;9.8302;;10.08527;Root Mean Squared Error;10000
Mean Absolut Error;;;10.02404;;8.22386;;8.36865;Mean Absolut Error;10000
R2;;;0.76509;;0.85238;;0.84462;R2;10000
accuracy;;0.673;;0.6688;;0.674;;accuracy;8000
precision;;0.46325;;0.45739;;0.46276;;precision;8000
recall;;0.63894;;0.63213;;0.64129;;recall;8000
f1_score;;0.53709;;0.53075;;0.53759;;f1_score;8000
Explained Variance;;0.9465;;0.89641;;0.94665;;Explained Variance;8000
Mean Squared Error;;0.00179;;0.00344;;0.00178;;Mean Squared Error;8000
Root Mean Squared Error;;0.04226;;0.05862;;0.04221;;Root Mean Squared Error;8000
Mean Absolut Error;;0.03405;;0.04643;;0.03386;;Mean Absolut Error;8000
R2;;0.94591;;0.89593;;0.94604;;R2;8000
Explained Variance;;;0.76461;;0.85272;;0.8431;Explained Variance;8000
Mean Squared Error;;;154.1208;;96.40822;;102.7143;Mean Squared Error;8000
Root Mean Squared Error;;;12.41454;;9.81877;;10.13481;Root Mean Squared Error;8000
Mean Absolut Error;;;10.03726;;8.18265;;8.41428;Mean Absolut Error;8000
R2;;;0.76455;;0.85272;;0.84309;R2;8000
accuracy;;0.6724;;0.6641;;0.6694;;accuracy;6000
precision;;0.46227;;0.46691;;0.44982;;precision;6000
recall;;0.63802;;0.61917;;0.63627;;recall;6000
f1_score;;0.53611;;0.53237;;0.52704;;f1_score;6000
Explained Variance;;0.94308;;0.86982;;0.94564;;Explained Variance;6000
Mean Squared Error;;0.00191;;0.00434;;0.00183;;Mean Squared Error;6000
Root Mean Squared Error;;0.04375;;0.06586;;0.04282;;Root Mean Squared Error;6000
Mean Absolut Error;;0.03536;;0.0523;;0.03514;;Mean Absolut Error;6000
R2;;0.94203;;0.8686;;0.94447;;R2;6000
Explained Variance;;;0.76455;;0.84543;;0.83902;Explained Variance;6000
Mean Squared Error;;;154.24799;;101.17877;;105.40239;Mean Squared Error;6000
Root Mean Squared Error;;;12.41966;;10.05877;;10.26657;Root Mean Squared Error;6000
Mean Absolut Error;;;10.03639;;8.34236;;8.5028;Mean Absolut Error;6000
R2;;;0.76436;;0.84543;;0.83898;R2;6000
accuracy;;0.6719;;0.6629;;0.6723;;accuracy;5000
precision;;0.4525;;0.46886;;0.47179;;precision;5000
recall;;0.64073;;0.61617;;0.63427;;recall;5000
f1_score;;0.53041;;0.53252;;0.5411;;f1_score;5000
Explained Variance;;0.93662;;0.83158;;0.93136;;Explained Variance;5000
Mean Squared Error;;0.00212;;0.0056;;0.0023;;Mean Squared Error;5000
Root Mean Squared Error;;0.04599;;0.07483;;0.04795;;Root Mean Squared Error;5000
Mean Absolut Error;;0.03821;;0.05886;;0.03918;;Mean Absolut Error;5000
R2;;0.93593;;0.83039;;0.93037;;R2;5000
Explained Variance;;;0.76425;;0.84256;;0.84093;Explained Variance;5000
Mean Squared Error;;;154.58143;;103.05795;;104.19089;Mean Squared Error;5000
Root Mean Squared Error;;;12.43308;;10.15175;;10.20739;Root Mean Squared Error;5000
Mean Absolut Error;;;10.04359;;8.38123;;8.44285;Mean Absolut Error;5000
R2;;;0.76385;;0.84256;;0.84083;R2;5000
accuracy;;0.6729;;0.6645;;0.6695;;accuracy;4000
precision;;0.47106;;0.48571;;0.46911;;precision;4000
recall;;0.63579;;0.61427;;0.62942;;recall;4000
f1_score;;0.54117;;0.54248;;0.53757;;f1_score;4000
Explained Variance;;0.93863;;0.78818;;0.92187;;Explained Variance;4000
Mean Squared Error;;0.00205;;0.00704;;0.00261;;Mean Squared Error;4000
Root Mean Squared Error;;0.04523;;0.08389;;0.05108;;Root Mean Squared Error;4000
Mean Absolut Error;;0.03645;;0.06652;;0.04028;;Mean Absolut Error;4000
R2;;0.93803;;0.78686;;0.92098;;R2;4000
Explained Variance;;;0.76343;;0.83693;;0.83559;Explained Variance;4000
Mean Squared Error;;;155.11503;;106.74823;;107.72513;Mean Squared Error;4000
Root Mean Squared Error;;;12.45452;;10.3319;;10.37907;Root Mean Squared Error;4000
Mean Absolut Error;;;10.05576;;8.47667;;8.56307;Mean Absolut Error;4000
R2;;;0.76303;;0.83692;;0.83543;R2;4000
accuracy;;0.6729;;0.6569;;0.6714;;accuracy;3000
precision;;0.47106;;0.52747;;0.48254;;precision;3000
recall;;0.63579;;0.59081;;0.6287;;recall;3000
f1_score;;0.54117;;0.55735;;0.54601;;f1_score;3000
Explained Variance;;0.92108;;0.72785;;0.88562;;Explained Variance;3000
Mean Squared Error;;0.00261;;0.00899;;0.00378;;Mean Squared Error;3000
Root Mean Squared Error;;0.05104;;0.0948;;0.06145;;Root Mean Squared Error;3000
Mean Absolut Error;;0.04167;;0.07373;;0.04884;;Mean Absolut Error;3000
R2;;0.92108;;0.72781;;0.88562;;R2;3000
Explained Variance;;;0.761;;0.8299;;0.83148;Explained Variance;3000
Mean Squared Error;;;156.67564;;111.39222;;110.41621;Mean Squared Error;3000
Root Mean Squared Error;;;12.51701;;10.55425;;10.50791;Root Mean Squared Error;3000
Mean Absolut Error;;;10.09818;;8.62726;;8.65188;Mean Absolut Error;3000
